route,ensemble_type,tag,cold_bottom_pN,hot_bottom_pN,Z_cold_N,Gini_cold_N,survival_N,work_total
insert_pack,reference,a050_mu010_g002,959.9541166760772,134.2590336831651,5.5954900603303335,0.4135549045610853,0.83954781088002,0.0008686213172965
random_data,independent,a050_mu010_g002,898.0883404440968,127.9331322810828,5.596479082187717,0.4136198881198181,0.8381528106693257,0.0006258572606934
insert_pack,reference,a100_mu030_g002,372.43742476962206,84.54844196401513,3.780437147660963,0.4906911069626363,0.5646484439868478,0.0012689929553779
random_data,independent,a100_mu030_g002,709.5979734197434,229.84036912051565,4.954603896746118,0.4568917897929077,0.7486068314429948,0.0016979082064781
insert_pack,reference,a150_mu060_g020,160.8475725269276,1241.4629212716875,3.575511818811196,0.517320063428158,0.5303473237279878,0.0052099511187638
random_data,independent,a150_mu060_g020,182.49194544378705,64568.393463811015,5.693403224211255,0.531424639538349,0.9000409281239178,0.0008778754667517
s31001,relaxed perturbation,a050_mu010_g002,1085.1528524284306,186.90530842742643,5.385924516968665,0.4202569935429904,0.8331444570361975,0.0054898973356899
s31002,relaxed perturbation,a050_mu010_g002,906.6672981627298,151.70916262422486,5.487313208304082,0.419644924548529,0.8376674289447893,0.0026454355127931
s31003,relaxed perturbation,a050_mu010_g002,1009.921106239574,178.9299554773775,5.4710362798155945,0.4135307083092203,0.8391796554552913,0.0032420506328915
s31001,relaxed perturbation,a100_mu030_g002,291.3069390977789,189.6985736637569,3.9046951646811494,0.5076753545905666,0.6117291629642794,0.0076704799640394
s31002,relaxed perturbation,a100_mu030_g002,308.46748400264465,153.33310766022186,3.8708253936415606,0.4973378353343296,0.6018129871962188,0.0045236740230189
s31003,relaxed perturbation,a100_mu030_g002,325.4867590012944,182.42090629656664,3.959510924032872,0.5144039547316487,0.616759895206401,0.0041281319389912
s31001,relaxed perturbation,a150_mu060_g020,172.45561918058291,396.1378027999907,2.8064871358494345,0.5790467590376793,0.4390150646172669,0.0096021340291465
s31002,relaxed perturbation,a150_mu060_g020,195.6459593784884,574.5745570412363,3.03179219737238,0.5656437918676027,0.4779800809212574,0.0096107765441264
s31003,relaxed perturbation,a150_mu060_g020,178.68407644561762,646.0571288300466,3.0525155341751855,0.5428737080059062,0.480611226291945,0.0084106977954907
