cycle,phase,n,free_volume_mean,free_volume_std,compactivity_like_theta,free_volume_entropy,phi_mean,phi_std
1,cold,8321,3.7726396992245234e-10,1.6459509755743367e-10,7.181058436486753e-11,2.1072107109912728,0.5947556114755761,0.06038787343833089
2,cold,8277,3.6390571563360037e-10,1.5506740289442032e-10,6.607727883183666e-11,2.046285176779075,0.6026833610901153,0.05807493221952367
3,cold,8260,3.595278443592823e-10,1.636207460606895e-10,7.446363045723706e-11,1.978550063795601,0.6062118490268397,0.058630456199627014
4,cold,8253,3.561228179035713e-10,1.6205627690018512e-10,7.374488677066629e-11,1.954493462122107,0.6084491643203822,0.058588482940704546
5,cold,8236,3.524368180265342e-10,1.5358446313051778e-10,6.692883974827362e-11,1.932083453044576,0.610363823853706,0.057619757973067516
6,cold,8247,3.5453648470630405e-10,1.7392354435198467e-10,8.532097706394083e-11,1.9444357600801478,0.6107452242233915,0.060851198591251675
7,cold,8236,3.512569921401816e-10,1.6565171669976055e-10,7.812083989669487e-11,1.9336954536050637,0.6121945133572797,0.059385828636920185
8,cold,8230,3.4911437709371226e-10,1.5977594475012672e-10,7.312317737617264e-11,1.927045933078273,0.6131871785199198,0.05861807458525066
9,cold,8234,3.495865067206835e-10,1.6684116389772304e-10,7.962542442459766e-11,1.9421571658551058,0.6135186738093698,0.05983342814453487
10,cold,8229,3.4693069838583513e-10,1.5776507000248312e-10,7.174290839263658e-11,1.948249215182437,0.6145733211466445,0.058410109019065494
11,cold,8223,3.462402650166306e-10,1.6027311491589155e-10,7.418972881045121e-11,1.9144078874551334,0.6151447500587071,0.05822727933241279
12,cold,8217,3.450424530177035e-10,1.5624721821131323e-10,7.075417237866998e-11,1.9228883872177327,0.6157153210964809,0.05792484230037987
13,cold,8218,3.4618605267835044e-10,1.656836193662903e-10,7.929568945349508e-11,1.9035408195560986,0.6157453303792743,0.05940565901296977
14,cold,8211,3.445733071076831e-10,1.59951603556004e-10,7.424984742692682e-11,1.8940538209400304,0.6163752375087339,0.05853885716085723
15,cold,8212,3.4414838579218207e-10,1.5965400887719875e-10,7.406515213455839e-11,1.9054584694509318,0.6166532889806476,0.05850826124087476
16,cold,8209,3.4332367654193667e-10,1.5986590340718085e-10,7.444026968839797e-11,1.8997749681707345,0.6171534339680435,0.05809417893198422
17,cold,8209,3.4226358907695917e-10,1.5554591768898175e-10,7.068976450272442e-11,1.8952147577215963,0.6175617185276587,0.057588096243779835
18,cold,8203,3.4073567364957623e-10,1.495270146198126e-10,6.561780826068624e-11,1.9062482001534864,0.6181342541916531,0.05671051412728387
19,cold,8206,3.414746127638454e-10,1.562539421198351e-10,7.149958888707704e-11,1.8913965207935295,0.6181690972175988,0.05770170307671539
20,cold,8199,3.396857449799509e-10,1.4710286348642006e-10,6.37037401942832e-11,1.907847657697186,0.6187330834352844,0.05658930827076803
1,hot,8009,4.887543826366468e-10,3.1278140365691463e-10,2.0016640248998209e-10,2.708538326580441,0.5561766839656745,0.09704957495688253
2,hot,8298,3.783185571593224e-10,1.6988096227682753e-10,7.628370535349445e-11,2.0474125126825324,0.6015779489051398,0.060074916956300156
3,hot,8276,3.7097590947019157e-10,1.667375413874431e-10,7.494127515620576e-11,2.0040062164712724,0.6059899751701351,0.05890699951914802
4,hot,8258,3.665018105719368e-10,1.666795949611559e-10,7.580341099286856e-11,1.9690085109597675,0.6088722033058365,0.058504588199892266
5,hot,8250,3.6465510203418824e-10,1.6534763518416475e-10,7.49745178621754e-11,1.9711184867537235,0.6101550203742092,0.05892736239659403
6,hot,8245,3.632937874719742e-10,1.6904306609045594e-10,7.865688646125467e-11,1.9398231691169479,0.6113819505436558,0.059427301365525306
7,hot,8238,3.612284030590618e-10,1.6706033189095097e-10,7.726179407589792e-11,1.9330784063623645,0.612544020716811,0.05892911481526951
8,hot,8231,3.5935375253245973e-10,1.6358341816531945e-10,7.44657166095201e-11,1.9344468047431196,0.6135095649445604,0.058438966352981986
9,hot,8224,3.58013391146498e-10,1.6399117301200618e-10,7.511759473502255e-11,1.9321115114893632,0.614311643658659,0.05793211902909493
10,hot,8225,3.569463114168906e-10,1.6033937523198106e-10,7.202403954738134e-11,1.9160919069543556,0.6148268256376566,0.05774365005368292
11,hot,8224,3.5574514552392997e-10,1.5851176068479647e-10,7.062915289649127e-11,1.9091476713354694,0.6154030191693762,0.05711551818359409
12,hot,8219,3.548817465279444e-10,1.5913275521588935e-10,7.135682246369393e-11,1.9005882507674896,0.6160553351613703,0.05723836442886867
13,hot,8213,3.540486129334499e-10,1.5723786336893866e-10,6.983149989483597e-11,1.898195645273688,0.6165249650578442,0.05718190389043533
14,hot,8209,3.5429402857375124e-10,1.618706086713479e-10,7.395578767475139e-11,1.9053921120973905,0.6166659200386727,0.057529234612721435
15,hot,8212,3.5423111890006077e-10,1.6012529331228259e-10,7.238243110306289e-11,1.89397554646439,0.616694512017178,0.057817175644531114
16,hot,8209,3.5320319168740696e-10,1.5895052513105032e-10,7.153182653512659e-11,1.8893727548063661,0.6172150523724451,0.057283525209156555
17,hot,8209,3.5250234115750077e-10,1.5702973943789854e-10,6.995227035078549e-11,1.9024408674807536,0.6175546265697518,0.05705843829271633
18,hot,8210,3.524139642115772e-10,1.5889047437531155e-10,7.163786175071824e-11,1.9046966092493758,0.6177502203363732,0.0572761808641553
19,hot,8212,3.527637185103871e-10,1.6270429147496953e-10,7.504367675949747e-11,1.8858552737478451,0.6178317496155036,0.057873702586848326
20,hot,8207,3.513812417852654e-10,1.582886139184565e-10,7.130513048712446e-11,1.878435703495861,0.6184025614086185,0.0572275581020775
