rendered_page,content_area_fraction,top_blank_fraction,bottom_blank_fraction,bbox
main_page_01.png,0.614111,0.144995,0.052385,"(97, 155, 728, 1012)"
main_page_02.png,0.652761,0.094481,0.052385,"(97, 101, 728, 1012)"
main_page_03.png,0.653477,0.094481,0.051450,"(97, 101, 728, 1013)"
main_page_04.png,0.652761,0.094481,0.052385,"(97, 101, 728, 1012)"
main_page_05.png,0.654192,0.093545,0.051450,"(97, 100, 728, 1013)"
main_page_06.png,0.653477,0.094481,0.051450,"(97, 101, 728, 1013)"
main_page_07.png,0.655624,0.091674,0.051450,"(97, 98, 728, 1013)"
main_page_08.png,0.654511,0.094481,0.051450,"(96, 101, 728, 1013)"
main_page_09.png,0.653477,0.094481,0.051450,"(97, 101, 728, 1013)"
main_page_10.png,0.656661,0.091674,0.051450,"(97, 98, 729, 1013)"
main_page_11.png,0.647751,0.101029,0.052385,"(97, 108, 728, 1012)"
main_page_12.png,0.647751,0.101029,0.052385,"(97, 108, 728, 1012)"
main_page_13.png,0.648466,0.101029,0.051450,"(97, 108, 728, 1013)"
main_page_14.png,0.649182,0.099158,0.052385,"(97, 106, 728, 1012)"
main_page_15.png,0.648466,0.101029,0.051450,"(97, 108, 728, 1013)"
