seed,tag,regime_label,input_file,run_dir,status,completed_cycles,cold_bottom_pN,hot_bottom_pN,Z_cold_N,Gini_cold_N,survival_N
s31001,a050_mu010_g002,"low expansion, low friction, memory-rich",inputs/targeted_uncertainty/in.s31001_a050_mu010_g002,runs/targeted_uncertainty_matrix/s31001/a050_mu010_g002,complete,10,1081.7570881765685,166.0684802214161,5.40334367804585,0.4159750375636709,0.8381896465405027
s31002,a050_mu010_g002,"low expansion, low friction, memory-rich",inputs/targeted_uncertainty/in.s31002_a050_mu010_g002,runs/targeted_uncertainty_matrix/s31002/a050_mu010_g002,complete,10,910.584452621941,157.67509310141995,5.500351017952061,0.4209552997093623,0.8395989156351047
s31003,a050_mu010_g002,"low expansion, low friction, memory-rich",inputs/targeted_uncertainty/in.s31003_a050_mu010_g002,runs/targeted_uncertainty_matrix/s31003/a050_mu010_g002,complete,10,991.883360819112,181.28331775328903,5.474844658248146,0.418557757255882,0.8411998815906325
s31001,a050_mu060_g002,"low expansion, high friction, frictional-memory boundary",inputs/targeted_uncertainty/in.s31001_a050_mu060_g002,runs/targeted_uncertainty_matrix/s31001/a050_mu060_g002,complete,10,791.4820748830409,421.04054536973103,5.281209330263289,0.4353142387033816,0.8425159451757362
s31002,a050_mu060_g002,"low expansion, high friction, frictional-memory boundary",inputs/targeted_uncertainty/in.s31002_a050_mu060_g002,runs/targeted_uncertainty_matrix/s31002/a050_mu060_g002,complete,10,808.8595688101899,444.97861758849064,5.311603650586702,0.4480147513054835,0.8409822866344605
s31003,a050_mu060_g002,"low expansion, high friction, frictional-memory boundary",inputs/targeted_uncertainty/in.s31003_a050_mu060_g002,runs/targeted_uncertainty_matrix/s31003/a050_mu060_g002,complete,10,851.1624702300961,403.14505211540944,5.269993986770896,0.4448662659299919,0.8324540475150375
s31001,a100_mu030_g002,intermediate expansion/friction,inputs/targeted_uncertainty/in.s31001_a100_mu030_g002,runs/targeted_uncertainty_matrix/s31001/a100_mu030_g002,complete,10,315.0675461763344,106.93357722455907,3.9084993492842126,0.5087861066696246,0.610306583780729
s31002,a100_mu030_g002,intermediate expansion/friction,inputs/targeted_uncertainty/in.s31002_a100_mu030_g002,runs/targeted_uncertainty_matrix/s31002/a100_mu030_g002,complete,10,285.9735850680591,180.46205875177932,3.928191756092669,0.5083710308820482,0.6077790660904395
s31003,a100_mu030_g002,intermediate expansion/friction,inputs/targeted_uncertainty/in.s31003_a100_mu030_g002,runs/targeted_uncertainty_matrix/s31003/a100_mu030_g002,complete,10,313.92236084111136,151.82181947003048,3.9342553617959513,0.5110122237316965,0.6106554479247684
s31001,a100_mu060_g000,"intermediate expansion, high friction, closed lid",inputs/targeted_uncertainty/in.s31001_a100_mu060_g000,runs/targeted_uncertainty_matrix/s31001/a100_mu060_g000,complete,10,286.46027810973993,432.2446355379389,3.750300360432519,0.5288623442937951,0.5919253072686823
s31002,a100_mu060_g000,"intermediate expansion, high friction, closed lid",inputs/targeted_uncertainty/in.s31002_a100_mu060_g000,runs/targeted_uncertainty_matrix/s31002/a100_mu060_g000,complete,10,252.29364631071775,521.0270123486425,3.84454919265871,0.5255562710623921,0.605841537399644
s31003,a100_mu060_g000,"intermediate expansion, high friction, closed lid",inputs/targeted_uncertainty/in.s31003_a100_mu060_g000,runs/targeted_uncertainty_matrix/s31003/a100_mu060_g000,complete,10,279.65347960447684,329.08088611978224,3.642177007116368,0.5098944600425129,0.5699942627653471
s31001,a150_mu010_g002,"high expansion, low friction",inputs/targeted_uncertainty/in.s31001_a150_mu010_g002,runs/targeted_uncertainty_matrix/s31001/a150_mu010_g002,complete,10,224.13243084217564,56.8326374623525,3.159675643207528,0.5885629422657725,0.4887916474742822
s31002,a150_mu010_g002,"high expansion, low friction",inputs/targeted_uncertainty/in.s31002_a150_mu010_g002,runs/targeted_uncertainty_matrix/s31002/a150_mu010_g002,complete,10,200.81128516776872,65.60166397502108,3.210911643766924,0.6026633216057388,0.4918920981342287
s31003,a150_mu010_g002,"high expansion, low friction",inputs/targeted_uncertainty/in.s31003_a150_mu010_g002,runs/targeted_uncertainty_matrix/s31003/a150_mu010_g002,complete,10,215.76336837003757,75.75842186730473,3.162958508719182,0.5897272471332698,0.4861992507072406
s31001,a150_mu060_g020,"high expansion, high friction, open lid hot-load extreme",inputs/targeted_uncertainty/in.s31001_a150_mu060_g020,runs/targeted_uncertainty_matrix/s31001/a150_mu060_g020,complete,10,164.25572448451172,654.7961460151066,2.9996996696366,0.5463896347955333,0.47490738935465
s31002,a150_mu060_g020,"high expansion, high friction, open lid hot-load extreme",inputs/targeted_uncertainty/in.s31002_a150_mu060_g020,runs/targeted_uncertainty_matrix/s31002/a150_mu060_g020,complete,10,171.85689282666965,635.5203174285831,2.94995486912045,0.5819484572367636,0.4614347357065804
s31003,a150_mu060_g020,"high expansion, high friction, open lid hot-load extreme",inputs/targeted_uncertainty/in.s31003_a150_mu060_g020,runs/targeted_uncertainty_matrix/s31003/a150_mu060_g020,complete,10,186.9578549272546,618.0430153914127,3.113249148125877,0.5486640700343477,0.4906954344057022
