model,features,validation,n_test,r2_vs_training_mean,spearman_prediction,delta_r2_from_A_L_eta
A,log_A,within_route_forward_60_40,33,0.9345619146988545,0.913770053475936,-0.02748666179387893
L+,log_L_plus,within_route_forward_60_40,33,0.8035096829364836,0.8891583044016291,-0.15853889355624984
eta,log_eta,within_route_forward_60_40,33,0.4616411848285047,0.857620320855615,-0.5004073916642288
Hb,log_H_b,within_route_forward_60_40,33,0.9322936017247934,0.9321524064171123,-0.02975497476794009
"A,L+,eta",log_A;log_L_plus;log_eta,within_route_forward_60_40,33,0.9620485764927335,0.940842245989305,0.0
drop A,log_L_plus;log_eta,within_route_forward_60_40,33,0.8022570812756484,0.9090909090909092,-0.15979149521708502
drop L+,log_A;log_eta,within_route_forward_60_40,33,0.9394916459794431,0.9134358288770055,-0.02255693051329033
drop eta,log_A;log_L_plus,within_route_forward_60_40,33,0.9600334118772734,0.9301470588235295,-0.00201516461546003
"A,L+,eta,Ib",log_A;log_L_plus;log_eta;I_b,within_route_forward_60_40,33,0.9478307879904041,0.9268048128342247,-0.014217788502329354
full vital signs,log_A;log_L_plus;log_eta;I_b;E_m,within_route_forward_60_40,33,0.929912985840789,0.9254679144385026,-0.03213559065194449
