model,heldout_route,features,n_test,r2_vs_heldout_mean,spearman_prediction,mean_error
A,R1,log_A,29,-22.996353709915592,-0.5620689655172413,0.49314749323777873
A,R3,log_A,29,0.7780541656463016,0.8054187192118225,-0.023696718164761967
A,R6,log_A,29,0.48476467839039106,0.9630541871921181,-0.2400795786754112
L+,R1,log_L_plus,29,-95.3621936178883,,-1.0189939508523171
L+,R3,log_L_plus,29,-5.008297947980615,0.94679802955665,0.7879471097065252
L+,R6,log_L_plus,29,-1.3464881689711437,0.8857142857142855,-0.8229910563702811
eta,R1,log_eta,29,-201.53217157312346,-0.0167487684729064,1.43373294803826
eta,R3,log_eta,29,-0.033932388538363334,0.6256157635467978,0.09747514887536925
eta,R6,log_eta,29,-3.615201066616156,-0.6950738916256156,-1.2077590803605498
Hb,R1,log_H_b,29,-53.43490176557918,-0.09605911330049259,0.6957780307132084
Hb,R3,log_H_b,29,0.20827811649327022,0.9044334975369456,-0.12950198122371886
Hb,R6,log_H_b,29,-0.9594778675532212,0.882758620689655,-0.8707701659062956
"A,L+,eta",R1,log_A;log_L_plus;log_eta,29,-3.1248706422148818,-0.4359605911330048,-0.16015051988718648
"A,L+,eta",R3,log_A;log_L_plus;log_eta,29,-0.291471897571868,0.9280788177339899,0.3800024737209707
"A,L+,eta",R6,log_A;log_L_plus;log_eta,29,0.7374825198523901,0.9635467980295563,-0.31948411117714487
drop A,R1,log_L_plus;log_eta,29,-33.864099140062926,-0.0167487684729064,0.5876195806048647
drop A,R3,log_L_plus;log_eta,29,-3.2127105638506315,0.7522167487684728,0.6114690134175518
drop A,R6,log_L_plus;log_eta,29,-1.4101477484036384,0.4669950738916255,-0.8355876798700685
drop L+,R1,log_A;log_eta,29,-31.90598365434355,-0.46847290640394085,0.5814001489769339
drop L+,R3,log_A;log_eta,29,0.459986614359309,0.6743842364532018,0.13548052911070374
drop L+,R6,log_A;log_eta,29,0.5887458933086998,0.9591133004926107,-0.34607934192833534
drop eta,R1,log_A;log_L_plus,29,-12.758876943632552,-0.5620689655172413,-0.366876268390709
drop eta,R3,log_A;log_L_plus,29,-0.2595060542089538,0.927093596059113,0.3738640625417497
drop eta,R6,log_A;log_L_plus,29,0.7250717430707854,0.9635467980295563,-0.33405745422678923
"A,L+,eta,Ib",R1,log_A;log_L_plus;log_eta;I_b,29,-2.6788578852960496,-0.44926108374384227,-0.14164998141881735
"A,L+,eta,Ib",R3,log_A;log_L_plus;log_eta;I_b,29,-0.39213512493037794,0.9236453201970442,0.3936654962713292
"A,L+,eta,Ib",R6,log_A;log_L_plus;log_eta;I_b,29,0.560894407365055,0.8551724137931034,-0.24609629311826514
full vital signs,R1,log_A;log_L_plus;log_eta;I_b;E_m,29,-3.367975781983125,-0.4891625615763546,-0.16185261664256076
full vital signs,R3,log_A;log_L_plus;log_eta;I_b;E_m,29,-1.0254132551387505,0.9344827586206895,0.4803175165702257
full vital signs,R6,log_A;log_L_plus;log_eta;I_b;E_m,29,0.5554536629215625,0.9497536945812804,-0.41018075565444906
