predictor,lag_cycles,n,spearman,route_mean_spearman,route_min_spearman,route_max_spearman,circular_shift_p,null_q025,null_q975
loop,0,87,0.8520816114220927,0.9162561576354677,0.8857142857142855,0.94679802955665,0.003198720511795282,-0.6177169161467948,0.6090250485353487
loop,1,84,-0.23690291065471067,-0.020251778872468484,-0.7646414887794198,0.7241379310344829,0.9704118352658937,-0.6854218584831999,0.7301622762192053
loop,2,81,0.783347034835023,0.8021978021978022,0.7576312576312576,0.8467643467643468,0.003998400639744102,-0.6313907355602013,0.6307923918102171
loop,3,78,-0.31705074216692564,-0.08136752136752134,-0.818119658119658,0.6553846153846153,0.9328268692522991,-0.6889706950372643,0.7104957137218534
loop,4,75,0.7515826808935506,0.7384615384615384,0.6538461538461537,0.823076923076923,0.006797281087564974,-0.6374174890957183,0.6242267419479242
loop,5,72,-0.3465051547250843,-0.06869565217391305,-0.6765217391304347,0.5391304347826086,0.9244302279088364,-0.692830085482039,0.6890560317494312
loop,6,69,0.7119711560501322,0.7094861660079052,0.6610671936758893,0.757905138339921,0.011995201919232307,-0.6350143825545707,0.610106747591566
hazard,0,87,0.7004629292119268,0.563711001642036,-0.09605911330049259,0.9044334975369456,0.001599360255897641,-0.545729751403368,0.535376722315375
hazard,1,84,0.009375316391616888,0.10800948731983208,-0.7350848385331145,0.7657361795292829,0.9940023990403839,-0.5944644122709325,0.6096582970537614
hazard,2,81,0.736743450767841,0.6571021571021571,0.3766788766788767,0.8247863247863249,0.0007996801279488205,-0.5327890695573623,0.551639001806685
hazard,3,78,-0.04068083814919258,0.13344729344729342,-0.788034188034188,0.7223931623931623,0.9948020791683326,-0.6047686490724464,0.5855638032853222
hazard,4,75,0.6693029871977241,0.6164102564102565,0.4415384615384615,0.7430769230769232,0.004798080767692923,-0.5762091038406828,0.5494167852062588
hazard,5,72,-0.1032220721589813,0.10927536231884054,-0.6617391304347826,0.5391304347826086,0.9784086365453818,-0.6113094089652069,0.5583108238471928
hazard,6,69,0.5985385458531239,0.5207509881422925,0.30632411067193677,0.66699604743083,0.020791683326669332,-0.5751050420168068,0.4839240043843625
amplitude,0,87,0.521415032441496,0.4021346469622331,-0.5620689655172413,0.9630541871921181,0.07676929228308677,-0.5635087847196908,0.5482047823868194
amplitude,1,84,-0.46271134960008103,-0.21401204159824846,-0.7739463601532567,0.8385331143951834,0.5877648940423831,-0.6876004859775235,0.6811820390806927
amplitude,2,81,0.5119015356820236,0.3258038258038258,-0.7039072039072038,0.8797313797313797,0.0899640143942423,-0.5606600045167118,0.5668478997289974
amplitude,3,78,-0.4957194704030147,-0.22780626780626778,-0.8420512820512819,0.7962393162393162,0.5309876049580168,-0.6892430354455671,0.6783090327394126
amplitude,4,75,0.5573826458036983,0.31974358974358974,-0.6053846153846154,0.83,0.06597361055577769,-0.5711635846372688,0.576931721194879
amplitude,5,72,-0.4965592642613674,-0.22840579710144923,-0.837391304347826,0.7321739130434782,0.6069572171131548,-0.6795219949836003,0.7007878320149207
amplitude,6,69,0.5631713554987213,0.32707509881422925,-0.5424901185770752,0.7786561264822135,0.046781287485006,-0.5559097552064305,0.5528598830836685
buffer,0,87,-0.4773091783917766,-0.434646962233169,-0.6950738916256156,0.0167487684729064,0.018392642942822873,-0.4104017824597215,0.40725331705183354
buffer,1,84,-0.2599777260301711,-0.1979565772669221,-0.6349206349206349,0.42145593869731796,0.2906837265093962,-0.37742178799230536,0.403679761061051
buffer,2,81,-0.487646793134598,-0.5429385429385429,-0.6355311355311355,-0.47619047619047616,0.004798080767692923,-0.38971544715447154,0.42159101174345076
buffer,3,78,-0.21938820672997886,-0.25219373219373215,-0.6225641025641024,0.44478632478632474,0.34146341463414637,-0.36448994043930755,0.406518165378925
buffer,4,75,-0.3588051209103841,-0.4612820512820513,-0.5507692307692308,-0.34153846153846157,0.07676929228308677,-0.32870199146514933,0.41296870554765297
buffer,5,72,-0.12241944819602549,-0.1994202898550724,-0.5069565217391303,0.3391304347826086,0.5777688924430228,-0.3109026303942376,0.4104122451604606
buffer,6,69,-0.25791012056996715,-0.32938076416337286,-0.4436758893280633,-0.18774703557312253,0.22351059576169532,-0.30153818048958714,0.424545122396785
tail,0,87,-0.32357658380112264,-0.12216748768472906,-0.660591133004926,0.7133004926108373,0.21951219512195122,-0.4575681635926222,0.48325344463075043
tail,1,84,0.43748101650298676,0.36726874657909137,-0.3448275862068966,0.8139025725232621,0.2966813274690124,-0.5953371469069556,0.584298876176977
tail,2,81,-0.26476964769647693,-0.07020757020757017,-0.6141636141636141,0.8351648351648352,0.3350659736105558,-0.4879691734417344,0.4740989159891598
tail,3,78,0.4720216492368391,0.40444444444444444,-0.2526495726495726,0.7709401709401709,0.19992003198720512,-0.5944751451080564,0.5646789918941818
tail,4,75,-0.29240398293029873,-0.09000000000000002,-0.5876923076923077,0.7669230769230769,0.249500199920032,-0.44600426742532,0.4540419630156473
tail,5,72,0.4607048684802882,0.4255072463768115,-0.07739130434782608,0.7408695652173911,0.18632546981207518,-0.5699747572191138,0.5383304392565439
tail,6,69,-0.3254658385093168,-0.12681159420289853,-0.5909090909090909,0.7944664031620554,0.14594162335065974,-0.43098739495798327,0.4105781877968579
