predictor,target,lag,rho_within,p_within,n
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,-6,0.4849835586408477,2.408278920842477e-05,69
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,-5,-0.5346646086565053,1.3124175770157182e-06,72
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,-4,0.4609672830725462,3.155780525081321e-05,75
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,-3,-0.5559124419883913,1.2666588797266283e-07,78
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,-2,0.42251580849141823,8.522366079946073e-05,81
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,-1,-0.49361142047180323,1.8327208163130909e-06,84
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,0,0.47576000583217903,3.206956598861361e-06,87
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,1,-0.2929432013769363,0.006846111710278281,84
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,2,0.35291327913279136,0.0012314159406936504,81
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,3,-0.36061406947482894,0.0011815250865209045,78
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,4,0.3823044096728307,0.0007123058179786755,75
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,5,-0.3233326902051579,0.005598950704084685,72
Z_geom_inhale_delta,Z_geom_next_cold_minus_current,6,0.3723785166240409,0.0016279748217395867,69
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,-6,0.3960906101571064,0.0007544372789191245,69
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,-5,-0.3065792012348062,0.008811506952519555,72
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,-4,0.41405405405405404,0.00022181279772619342,75
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,-3,-0.35370958155768284,0.0014890486490139491,78
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,-2,0.5247967479674797,4.923068518782658e-07,81
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,-1,-0.3115520907158044,0.0039165654274078525,84
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,0,0.5460013122402857,4.50750369927153e-08,87
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,1,-0.4995038979447201,1.318460391894603e-06,84
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,2,0.5605239385727191,5.27547259042377e-08,81
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,3,-0.5641320704611843,7.505518611549242e-08,78
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,4,0.5205689900426742,1.6890071780385136e-06,75
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,5,-0.5159817351598175,3.50227371568192e-06,72
cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,6,0.45359883083668256,9.067655764645493e-05,69
