null_model,perm,rho_within,p_asymptotic,n
raw_force_shuffle_on_fixed_contact_graph,0,0.6349672799111001,1.8023309705588804e-11,90
raw_force_shuffle_on_fixed_contact_graph,1,0.6517100876651437,3.4880781087044445e-12,90
raw_force_shuffle_on_fixed_contact_graph,2,0.6519570317323126,3.401989917578317e-12,90
raw_force_shuffle_on_fixed_contact_graph,3,0.6435609334485739,7.856374993944591e-12,90
raw_force_shuffle_on_fixed_contact_graph,4,0.6537185660781165,2.8446116406853325e-12,90
raw_force_shuffle_on_fixed_contact_graph,5,0.6474955755854631,5.324592116837659e-12,90
raw_force_shuffle_on_fixed_contact_graph,6,0.6540807507099642,2.7414589297232418e-12,90
raw_force_shuffle_on_fixed_contact_graph,7,0.6551673046055068,2.453168374702979e-12,90
raw_force_shuffle_on_fixed_contact_graph,8,0.6553977857348644,2.3958868393304416e-12,90
raw_force_shuffle_on_fixed_contact_graph,9,0.6485821294810059,4.777498433982048e-12,90
raw_force_shuffle_on_fixed_contact_graph,10,0.6566160431328969,2.1138863757977954e-12,90
raw_force_shuffle_on_fixed_contact_graph,11,0.6516442359138988,3.5113869983673716e-12,90
raw_force_shuffle_on_fixed_contact_graph,12,0.658838539737416,1.679663314050776e-12,90
raw_force_shuffle_on_fixed_contact_graph,13,0.6493723504959459,4.414048603140683e-12,90
raw_force_shuffle_on_fixed_contact_graph,14,0.6505741449561674,3.911852761041762e-12,90
raw_force_shuffle_on_fixed_contact_graph,15,0.653619788451249,2.8733868330012033e-12,90
raw_force_shuffle_on_fixed_contact_graph,16,0.6521710499238589,3.329038752000397e-12,90
raw_force_shuffle_on_fixed_contact_graph,17,0.6652920113594271,8.52030989136315e-13,90
raw_force_shuffle_on_fixed_contact_graph,18,0.6521051981726138,3.3513232444605796e-12,90
raw_force_shuffle_on_fixed_contact_graph,19,0.6611104251553689,1.325178619022336e-12,90
raw_force_shuffle_on_fixed_contact_graph,20,0.6618183314812528,1.2303116203137445e-12,90
raw_force_shuffle_on_fixed_contact_graph,21,0.6524344569288388,3.2413196422069723e-12,90
raw_force_shuffle_on_fixed_contact_graph,22,0.6489113882372308,4.62268909742264e-12,90
raw_force_shuffle_on_fixed_contact_graph,23,0.6587726879861711,1.691192609576253e-12,90
