run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R1_low_expansion_low_friction,2,cold,10894,8602,4688,0.4504631161098247,0.5587812884694296,0.44121871153057035,0.3008599666281607
R1_low_expansion_low_friction,3,cold,13590,4093,5906,0.5761159862647844,0.768534750890686,0.23146524910931404,0.30293393516618794
R1_low_expansion_low_friction,4,cold,13436,4488,4247,0.6060168688827748,0.749609462173622,0.25039053782637805,0.24017417858960582
R1_low_expansion_low_friction,5,cold,13779,4058,4145,0.6268310435811119,0.772495374782755,0.22750462521724504,0.23125418433385406
R1_low_expansion_low_friction,6,cold,14014,4069,3823,0.6397334063726833,0.7749820273184759,0.22501797268152407,0.2143297639737624
R1_low_expansion_low_friction,7,cold,14260,3836,3823,0.6505771248688352,0.7880194518125553,0.21198054818744475,0.21141403528175634
R1_low_expansion_low_friction,8,cold,14240,3664,3856,0.6544117647058824,0.7953529937444147,0.20464700625558535,0.21308576480990274
R1_low_expansion_low_friction,9,cold,14153,3708,3751,0.6548676661114196,0.7923968422820671,0.20760315771793292,0.20950625558534405
R1_low_expansion_low_friction,10,cold,14174,3749,3687,0.6559000462748728,0.7908274284438989,0.2091725715561011,0.20642741167907733
R1_low_expansion_low_friction,11,cold,14321,3591,3602,0.6656595705122246,0.7995198749441715,0.2004801250558285,0.20097081961725158
R1_low_expansion_low_friction,12,cold,14350,3764,3562,0.6620225133788522,0.7922049243678922,0.20779507563210775,0.19886109870477892
R1_low_expansion_low_friction,13,cold,14324,3610,3790,0.6593629165899466,0.7987063677930188,0.20129363220698115,0.20923042950204263
R1_low_expansion_low_friction,14,cold,14363,3701,3571,0.6638779755026577,0.7951173604960142,0.20488263950398583,0.1991189918590387
R1_low_expansion_low_friction,15,cold,14364,3528,3700,0.6652463875509448,0.8028169014084507,0.19718309859154928,0.20482728077945084
R1_low_expansion_low_friction,16,cold,14402,3621,3490,0.6694556779621624,0.7990900516007324,0.2009099483992676,0.195059244355019
R1_low_expansion_low_friction,17,cold,14486,3617,3537,0.6694085027726433,0.8001988620670607,0.1998011379329393,0.19624923708594574
R1_low_expansion_low_friction,18,cold,14648,3507,3455,0.6778343359555761,0.8068300743596806,0.19316992564031948,0.19085234491520742
R1_low_expansion_low_friction,19,cold,14644,3655,3511,0.6714351215038973,0.8002623094158151,0.19973769058418492,0.193390250619664
R1_low_expansion_low_friction,20,cold,14679,3434,3620,0.6754244697004556,0.8104124109755424,0.18958758902445758,0.19782501776053335
R1_low_expansion_low_friction,21,cold,14597,3574,3516,0.6730760363351317,0.8033129712178746,0.19668702878212538,0.19411472423121515
R1_low_expansion_low_friction,22,cold,14732,3565,3439,0.6777695988222304,0.8051593157348199,0.1948406842651801,0.18925760827692478
