run,cycle,phase,contacts,Z_geom,mean_positive_overlap_m,overlap_p90_m,overlap_p99_m,orientation_entropy,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,cycle_births_during_overlap_filtration,cycle_birth_count,cycle_birth_positive_count,cycle_birth_overlap_median,cycle_birth_overlap_p90,cycle_birth_positive_fraction,force_proxy_q99_q50,force_proxy_gini,net_force_p99_N
R1_low_expansion_low_friction,1,cold,15582.0,3.0821877163485314,4.1139609874247295e-07,6.289373546001023e-07,1.0333910539719089e-06,0.9377934376537321,0.930432550378642,0.0010910024387113335,0.006230837701513204,0.04262684205320937,7142.0,7142.0,2667.0,0.0,3.5621671044092266e-07,0.3734248109773173,5.1288849569326525,0.4614889171013114,0.0012701194663108
R1_low_expansion_low_friction,1,hot,14451.0,2.858470972208486,3.5248471311618517e-07,3.445669043511488e-07,9.729130836870188e-07,0.9254345532627969,0.3657186353885544,0.08719119784097987,0.0007912174859064385,0.0020769459005044013,5455.0,5455.0,40.0,0.0,0.0,0.007332722273143905,11.964982952361323,0.5854417256265685,0.0017973213877169
R1_low_expansion_low_friction,2,cold,19496.0,3.8563940263079814,3.9458284228092453e-07,6.227374895906995e-07,9.26188363911889e-07,0.94809461266456,0.9888695116947066,0.003231432088633566,0.0034615765008406685,0.08218771634853131,10553.0,10553.0,6055.0,1.0812700048127774e-07,4.299159780893956e-07,0.5737704918032787,4.127421038110549,0.4164479266583276,0.0008124819476769
R1_low_expansion_low_friction,2,hot,23288.0,4.606468202947285,1.6332313359822657e-07,2.32695858114868e-07,5.145584251638264e-07,0.9376086170261863,0.41506355204397116,0.0029199587770525593,0.011175946988428444,0.0819899119770547,13529.0,13529.0,3744.0,0.0,1.0110043582615627e-07,0.2767388572695691,9.936499856701989,0.5548417272225904,0.00075846484251
R1_low_expansion_low_friction,3,cold,17683.0,3.497774700820888,3.488605541922431e-07,5.391394061445358e-07,8.106943960885194e-07,0.9472886567200843,0.8890459763614771,0.0007351693717129446,0.003956087429532192,0.04015428740975176,8938.0,8938.0,4474.0,8.10806010873022e-10,3.6438798189488213e-07,0.5005594092638174,4.07552018522009,0.4209736669615982,0.0007279685760761
R1_low_expansion_low_friction,3,hot,24542.0,4.854514884778953,1.1882039239400796e-07,1.6204940063717542e-07,4.0019510609640816e-07,0.9377294126197655,0.5593676147013283,0.001955830820634015,0.05627534368509544,0.1211551775294234,14670.0,14670.0,3309.0,0.0,6.129741177889145e-08,0.22556237218813907,12.551919732011322,0.5906294448692899,0.0004856230267704
R1_low_expansion_low_friction,4,cold,17924.0,3.545445554346751,3.5408093730520833e-07,5.455523169620386e-07,8.204228531049925e-07,0.9484382464840189,0.9780182994867217,0.002175853604106226,0.003164869943625754,0.023538720205716547,9214.0,9214.0,4859.0,4.404532723972527e-08,3.7724512738754497e-07,0.5273496852615585,4.049473982983189,0.4157326277681907,0.0007107155697425
R1_low_expansion_low_friction,4,hot,25030.0,4.951043418059539,1.1041326901013456e-07,1.47324453588513e-07,3.598810051475145e-07,0.9356044249545659,0.44035157810627246,0.0007990411506192569,0.06448422510137473,0.13915537533379488,15125.0,15125.0,3096.0,0.0,5.6119458187887315e-08,0.20469421487603306,11.53856834099346,0.5836741591010148,0.0003676899917484
R1_low_expansion_low_friction,5,cold,17837.0,3.528236574028286,3.4910922446786254e-07,5.345705455891969e-07,8.056070519239267e-07,0.9465865321931619,0.9905813757918932,0.0009530750686774682,0.002769261200672535,0.028483829492631788,9150.0,9150.0,4727.0,2.8868453896477297e-08,3.6683790010001455e-07,0.5166120218579235,3.988884453968974,0.4139673085262816,0.0006999358487903
R1_low_expansion_low_friction,5,hot,25436.0,5.031351992879043,1.1207772701933122e-07,1.4985750651801046e-07,3.7948152297488343e-07,0.9349753364045005,0.38995911306809244,0.0008649158672747288,0.0781327267332608,0.1420235387202057,15484.0,15484.0,3287.0,0.0,6.03300381479085e-08,0.2122836476362697,12.067097100205512,0.5836374951876209,0.0002788658862389
R1_low_expansion_low_friction,6,cold,18083.0,3.576896449411532,3.5407429342641926e-07,5.445159240333784e-07,7.960426997109681e-07,0.947523728598579,0.9121827130454018,0.002820328485317702,0.002274750271981011,0.022945307091286716,9407.0,9407.0,5060.0,5.896452558314634e-08,3.7555772595017357e-07,0.5378973105134475,3.860102272338168,0.4070509925602284,0.0007090119393282
