regime_id,feature,n,spearman,p_value
R1,amplifying_projection,30,0.6480533926585095,0.00010788152590670534
R1,amplified_memory_component,30,-0.6480533926585095,0.00010788152590670534
R1,amplified_hot_component,30,0.6480533926585095,0.00010788152590670534
R1,hot_excitation_coordinate,30,0.6338153503893215,0.0001696944907691912
R3,amplifying_projection,30,-0.7619577308120132,9.993525212119574e-07
R3,amplified_memory_component,30,0.7619577308120132,9.993525212119574e-07
R3,amplified_hot_component,30,-0.7619577308120132,9.993525212119574e-07
R3,hot_excitation_coordinate,30,0.9421579532814239,8.052686534169987e-15
R5,amplifying_projection,30,-0.8531701890989989,2.110565351567339e-09
R5,amplified_memory_component,30,0.8531701890989989,2.110565351567339e-09
R5,amplified_hot_component,30,0.8531701890989989,2.110565351567339e-09
R5,hot_excitation_coordinate,30,0.8242491657397107,2.1655533866279298e-08
R6,amplifying_projection,30,0.84293659621802,5.0718070711764924e-09
R6,amplified_memory_component,30,0.84293659621802,5.0718070711764924e-09
R6,amplified_hot_component,30,0.84293659621802,5.0718070711764924e-09
R6,hot_excitation_coordinate,30,0.8807563959955507,1.3686102732169856e-10
R6c,amplifying_projection,30,0.9078976640711901,4.37492419594825e-12
R6c,amplified_memory_component,30,0.9078976640711901,4.37492419594825e-12
R6c,amplified_hot_component,30,0.9078976640711901,4.37492419594825e-12
R6c,hot_excitation_coordinate,30,0.8042269187986651,8.59264578208676e-08
