Cycle,BedHeight_m,Porosity,k_eff_W_mK,cycle,z_mean,contact_survival,contacts_broken,contacts_created,rms_displacement_m,phi_voro_mean,phi_voro_std,compactivity_like_theta,free_volume_entropy
1,0.0143261274332675,0.477204871692155,0.384673635266654,1,5.794283453664326,0.8395235056370985,3772,9560,0.0013969919391545,0.5833788225252649,0.1010784108146827,7.181058436486753e-11,2.1072107109912728
2,0.0136983642912755,0.45324642633429,0.43367297513434,2,5.986944911482544,0.8956285227421681,3185,2936,0.0002422853249867,0.5929874503447817,0.0971536335501708,6.607727883183666e-11,2.046285176779075
3,0.0135997100705894,0.449280198566392,0.442218296596256,3,6.074374443675206,0.9038380702945646,2974,2756,0.0002322633320351,0.5962669190300152,0.0979773284739051,7.446363045723706e-11,1.978550063795601
4,0.0135101237361685,0.44562834686859,0.450198890675997,4,6.14004549500544,0.907057239920518,2900,2739,0.000227566333054,0.5984144114001013,0.0984225254034367,7.374488677066629e-11,1.954493462122107
5,0.013457813909744,0.443473532933396,0.454959095352109,5,6.169518346355455,0.9065163947511254,2928,2797,0.0002278860620782,0.5996524051363921,0.0994906121671309,6.692883974827362e-11,1.932083453044576
6,0.0134139854626096,0.441655155322304,0.459005863789135,6,6.188507566017209,0.9081197939848668,2890,2722,0.0002268497458409,0.6007426749408596,0.1001837968100577,8.532097706394083e-11,1.944435760080148
7,0.0133835408924675,0.440385045347384,0.461848734602333,7,6.212244090594402,0.908229759369338,2887,2834,0.0002265668174858,0.6018017232801282,0.099968444446628,7.812083989669487e-11,1.9336954536050637
8,0.0132942045692443,0.436624463643606,0.470344999972604,8,6.224112352882999,0.910770688566014,2825,2631,0.0002254138873628,0.6040208774783494,0.0966496540338232,7.312317737617263e-11,1.927045933078273
9,0.0132576800269049,0.435072379599575,0.473886292657179,9,6.247848877460192,0.9124383145640896,2768,2742,0.0002249363169664,0.6046328296367874,0.0970135615241188,7.962542442459766e-11,1.9421571658551056
10,0.0132286980382637,0.43383471238318,0.476724821862169,10,6.2516071605182475,0.9112972033496602,2807,2767,0.0002264147208229,0.6055997847323474,0.0962554369982287,7.174290839263658e-11,1.948249215182437
11,0.0131614408489977,0.430941511984989,0.483411153871543,11,6.2583325091484525,0.9105241540551642,2832,2820,0.0002268595334059,0.6069401010822203,0.0941786755833495,7.418972881045121e-11,1.9144078874551336
12,0.0131280583671693,0.429494490338363,0.486782210653652,12,6.274156858866581,0.9112593618226446,2820,2761,0.000224872654192,0.6079362382751876,0.0925939805482383,7.075417237866998e-11,1.9228883872177327
13,0.0131136729769902,0.428868659240531,0.488245768611297,13,6.284838294926318,0.9102390901379246,2857,2801,0.0002249973204026,0.6084722360599019,0.0923755476251958,7.929568945349508e-11,1.9035408195560983
14,0.0130855757225999,0.42764233011969,0.49112346185204,14,6.3028384927306895,0.9111125031320472,2838,2774,0.0002259111101838,0.6094975775989971,0.0903582926144964,7.424984742692682e-11,1.8940538209400304
15,0.0130794418519415,0.427373911332625,0.491755069745958,15,6.312530906933043,0.9107826523567438,2843,2890,0.0002273320424872,0.6094347942583607,0.0913303825486439,7.406515213455839e-11,1.905458469450932
16,0.0131007296315592,0.428304389124452,0.489568262629069,16,6.293343882899812,0.9092652560757066,2886,2895,0.0002271096857007,0.6092165564182263,0.0928516611892729,7.444026968839797e-11,1.8997749681707343
17,0.0131261636320146,0.42941213902267,0.486974602888873,17,6.299080209672634,0.91072438273544,2842,2853,0.0002262081896738,0.6089523523829345,0.0944664719267191,7.068976450272442e-11,1.8952147577215963
18,0.0130354707008172,0.425442333343582,0.496318688606534,18,6.301453862130353,0.9100125549278092,2867,2864,0.0002261248440244,0.6107296332493308,0.0908847814423878,6.561780826068623e-11,1.9062482001534864
19,0.0130073470631751,0.424200062222264,0.499270937199485,19,6.303629710216596,0.910690164294914,2843,2878,0.0002263833382533,0.6116816799920501,0.0887963952551476,7.149958888707704e-11,1.8913965207935295
20,0.0129765148684308,0.422831961773468,0.502537884319277,20,6.324596973593116,0.9116541353383458,2820,2874,0.0002254728927852,0.6122960101697944,0.0875530591727168,6.370374019428319e-11,1.907847657697186
