bin,z_mid_m,contacts,force_N,pressure_Pa,max_contact_N
0,0.0002401989989787,0,0.0,0.0,0.0
1,0.0007205969969362,64,0.0102137114060947,225.58554427863083,0.0004328286779541
2,0.0012009949948937,98,0.017309244558156,382.30132020114985,0.0007656731823188
3,0.0016813929928511,34,0.0056877741095387,125.62324969046608,0.0004019677086183
4,0.0021617909908086,100,0.0158158173890268,349.31668147447976,0.0005287471393077
5,0.0026421889887661,32,0.0059575516394497,131.58170186318014,0.0008058307320782
6,0.0031225869867236,78,0.0112781243872277,249.09474403366391,0.0007523685020772
7,0.0036029849846811,60,0.0080241325926884,177.22532449912174,0.0005140743340625
8,0.0040833829826385,78,0.0132017444136649,291.58085445872973,0.0005885019977501
9,0.004563780980596,38,0.0066936590602922,147.83976776850912,0.0006839666563244
10,0.0050441789785535,90,0.0113603485179919,250.91079057676603,0.0005552213797235
11,0.005524576976511,50,0.0072270768268771,159.62112054210954,0.0003617329779036
12,0.0060049749744685,72,0.0116095000333825,256.41368545723964,0.0006311357920189
13,0.006485372972426,64,0.0092808547503692,204.98196855098695,0.0005186842196566
14,0.0069657709703834,70,0.0090255023136512,199.34211677433177,0.0004052243739803
15,0.0074461689683409,34,0.0052030307662092,114.91694650716246,0.0004204030019097
16,0.0079265669662984,60,0.0069527448012313,153.5620753177216,0.0004148992126556
17,0.0084069649642559,60,0.0068621258591507,151.56061643970747,0.0004965302617318
18,0.0088873629622134,72,0.0057716662770622,127.47613739397092,0.0002510341387518
19,0.0093677609601709,56,0.0062858135227837,138.83187104004114,0.0003313718931732
20,0.0098481589581283,58,0.0033746543373934,74.53443759913527,0.0001814225534248
21,0.0103285569560858,58,0.0032802578869412,72.4495466318302,0.0002561599449801
22,0.0108089549540433,62,0.0030796793445897,68.01946065740384,0.0001222659328066
23,0.0112893529520008,50,0.003300877586321,72.90496444446538,0.0002284543206961
24,0.0117697509499583,24,0.0012485595189948,27.57635960701303,0.0001919195440678
25,0.0122501489479157,0,0.0,0.0,0.0
26,0.0127305469458732,0,0.0,0.0,0.0
27,0.0132109449438307,0,0.0,0.0,0.0
