predictor,predictor_column,lag_cycles,n,route_centered_spearman,route_mean_spearman,route_min_spearman,route_max_spearman,pooled_rare_auc,route_mean_rare_auc,route_min_rare_auc,circular_shift_p,null_q025,null_q975
Psi,psi_z,0,150,0.8701986754966888,0.8170411568409344,0.6338153503893215,0.9421579532814239,0.9025000000000001,0.9097222222222221,0.7222222222222222,0.0004997501249375312,-0.4298953731276945,0.4672983688163919
Psi,psi_z,1,145,0.2249370177924736,0.3516256157635468,-0.7714285714285711,0.8320197044334974,0.7501616031027797,0.7621014492753624,0.15217391304347827,0.33683158420789605,-0.3950897496457251,0.42186063218390796
Psi,psi_z,2,140,0.8262797664603881,0.748768472906404,0.6278051450465244,0.8374384236453202,0.9394277220364177,0.9301795125164689,0.8260869565217391,0.0004997501249375312,-0.4660249065185542,0.47213411034090663
Psi,psi_z,3,135,0.1046044288362111,0.21636141636141634,-0.8308913308913308,0.7289377289377289,0.643913043478261,0.6966089466089466,0.126984126984127,0.6916541729135433,-0.3907551702272949,0.4153214320554092
Psi,psi_z,4,130,0.7196192765161342,0.5748376068376069,0.10085470085470086,0.8099145299145298,0.8000992063492064,0.8217287784679088,0.6285714285714286,0.0004997501249375312,-0.4773896953392781,0.4829222029523817
Psi,psi_z,5,125,0.017364055299539168,0.14753846153846156,-0.6861538461538461,0.7223076923076923,0.5321212121212121,0.581939393939394,0.19999999999999998,0.9500249875062469,-0.40844654377880174,0.41224992319508436
Psi,psi_z,6,120,0.6183346065699007,0.4906086956521739,-0.1226086956521739,0.7426086956521739,0.7541337167505393,0.7738402329935512,0.5652173913043479,0.0004997501249375312,-0.4476204944787832,0.4656868532536981
Psi,psi_z,7,115,-0.07807938136195061,0.033992094861660035,-0.6442687747035574,0.7440711462450592,0.5469255663430421,0.5857911825017088,0.22368421052631582,0.7571214392803598,-0.374922078434467,0.38161110234356493
Psi,psi_z,8,110,0.5556657575006199,0.4470920383963863,-0.21626199887069456,0.8260869565217391,0.7493112947658402,0.8298902894491129,0.6388888888888888,0.0014992503748125937,-0.4271343236480851,0.4529432184478054
loop activation,loop_z,0,150,0.8701986754966888,0.8170411568409344,0.6338153503893215,0.9421579532814239,0.9025000000000001,0.9097222222222221,0.7222222222222222,0.0004997501249375312,-0.43358558158140365,0.46922707675896663
