tag,regime_id,phase,contacts,force_mean,force_p95,force_p99,force_max,force_gini,top1_force_share,top5_force_share,mean_overlap_m,force_weighted_theta_deg,fabric_Qxx,fabric_Qyy,fabric_Qzz,fabric_anisotropy,fabric_vertical_bias,force_weighted_abs_nz,p95_threshold,p95_edge_fraction,p95_largest_component_edges,p95_largest_component_nodes,p95_largest_component_edge_fraction,p95_largest_component_node_fraction,p95_largest_component_z_span_m,p95_largest_component_z_span_norm,p95_largest_component_touches_side,p95_largest_component_touches_bottom,p95_largest_component_touches_top,p99_threshold,p99_edge_fraction,p99_largest_component_edges,p99_largest_component_nodes,p99_largest_component_edge_fraction,p99_largest_component_node_fraction,p99_largest_component_z_span_m,p99_largest_component_z_span_norm,p99_largest_component_touches_side,p99_largest_component_touches_bottom,p99_largest_component_touches_top
a050_mu010_g002,R1,cold,21676.0,0.0002978407361547528,0.0007296834498294826,0.0009631427839378353,0.001850521568734069,0.405991943336047,0.037594809134206604,0.14806476569796753,0.0034309599138678724,50.397915260277095,0.27947525220742164,0.28077807070974475,0.4397466770828332,0.16148611022288667,0.15962001562425,0.5868725784237508,0.0007296834498294826,0.050009226794611554,28.0,15.0,0.025830258302583026,0.018404907975460124,0.004612748,0.37518158218967057,0.0,1.0,0.0,0.0009631427839378353,0.010011072153533862,10.0,6.0,0.04608294930875576,0.03208556149732621,0.002514178,0.20449269718321086,0.0,1.0,0.0
a050_mu010_g002,R1,hot,21513.0,5.797869218205431e-05,0.00021368753078650294,0.0004056888034690874,0.0013598550899992983,0.5984399265066837,0.09452507054961654,0.29672828129821655,0.004348512044066379,66.89323611702831,0.38947395827066245,0.37827799672542806,0.23224804500390975,0.16245692245814256,-0.1516279324941355,0.3560723729139106,0.00021368753078650294,0.05001626923255706,772.0,368.0,0.7174721189591078,0.5945072697899838,0.002358331,0.19313846993723716,1.0,1.0,0.0,0.0004056888034690874,0.010040440663784688,33.0,17.0,0.1527777777777778,0.11643835616438356,0.000953721,0.07810617537869441,1.0,1.0,0.0
a050_mu060_g002,R2,cold,14291.0,0.0002986144035922159,0.0007403702665220082,0.0010501863209841093,0.0019165196646890948,0.41997902794664715,0.04065238682691833,0.1553411200529441,0.0031888711158771254,47.25249575038468,0.25906541481308715,0.26069702584052973,0.48023755934638324,0.2229647294905644,0.2203563390195748,0.6288696703872619,0.0007403702665220082,0.05003148834931075,22.0,12.0,0.03076923076923077,0.021505376344086023,0.004671014,0.37549174117595047,0.0,1.0,0.0,0.0010501863209841093,0.010006297669862151,6.0,4.0,0.04195804195804196,0.03125,0.00233227,0.18748565583242396,0.0,0.0,0.0
a050_mu060_g002,R2,hot,20416.0,0.00020241649742908343,0.0007358319008055014,0.0012522663234752604,0.0031903439726259047,0.5770396170515351,0.07625473246364596,0.2584406920859762,0.004784532846884796,66.76012373279947,0.3842772391997459,0.3885250627356613,0.22719769806459225,0.16807889439229345,-0.1592034529031113,0.3617044429800934,0.0007358319008055014,0.05000979623824452,326.0,161.0,0.31929480901077373,0.2733446519524618,0.002886834,0.23252641142868188,1.0,1.0,0.0,0.0012522663234752604,0.01004114420062696,23.0,13.0,0.11219512195121951,0.08666666666666667,0.000385784,0.03107382312478051,0.0,1.0,0.0
a100_mu030_g002,R3,cold,5191.0,0.0002300896689226745,0.0006460470021794472,0.0009656121555816908,0.001798080420509742,0.4763501858668763,0.050991397163655985,0.18383538192989393,0.002372452928722789,48.26550583123852,0.2689577889108435,0.25538419131823453,0.47565801977092353,0.2263378138933269,0.2134870296563845,0.617305185108672,0.0006460470021794472,0.05008668849932576,8.0,5.0,0.03076923076923077,0.02074688796680498,0.0018432989999999998,0.1480789213762599,0.0,1.0,0.0,0.0009656121555816908,0.010017337699865151,4.0,3.0,0.07692307692307693,0.058823529411764705,0.0008823599999999998,0.07088319207331889,0.0,0.0,0.0
a100_mu030_g002,R3,hot,10554.0,0.00010807919743864767,0.00041484345756860754,0.0008473613936390311,0.002420691653828715,0.6224443298846243,0.10439590926408719,0.3159759377403947,0.004514413805002842,68.62834319114651,0.4064794611990315,0.3830385521695719,0.2104819866313967,0.19702534063331803,-0.184277020052905,0.33001091900032276,0.00041484345756860754,0.050028425241614556,150.0,74.0,0.2840909090909091,0.185,0.00025172399999999994,0.020238331266277755,1.0,1.0,0.0,0.0008473613936390311,0.010043585370475649,22.0,12.0,0.20754716981132076,0.12631578947368421,0.000251502,0.020220482711745362,1.0,1.0,0.0
a100_mu060_g000,R4,cold,3911.0,0.00021647427265407347,0.0006239586487160753,0.0008872490339904894,0.0015702606011885414,0.4835766909177037,0.04998175459709426,0.18494877672918925,0.0030162952296087955,48.49819708390984,0.26568278209228635,0.26398165846759486,0.47033555944011735,0.2072747610469235,0.20550333916017677,0.61418914524376,0.0006239586487160753,0.05011506008693429,6.0,4.0,0.030612244897959183,0.021621621621621623,0.001490796,0.11986151086048864,1.0,1.0,0.0,0.0008872490339904894,0.010227563283047815,2.0,2.0,0.05,0.05,0.0009533269999999999,0.07664845798090218,0.0,1.0,0.0
a100_mu060_g000,R4,hot,22722.0,0.0005979696177917467,0.002209988842791455,0.004191727630990499,0.008332491807426155,0.5876271605790928,0.09052216547557905,0.28189112651870946,0.00502345397482616,68.54564832558219,0.3948157943412965,0.39636230721141646,0.20882189844728577,0.1939589461593001,-0.1867671523290707,0.3338775478098691,0.002209988842791455,0.050039609189331924,906.0,434.0,0.7968337730870713,0.7011308562197092,0.004103562,0.33015463892642594,1.0,1.0,0.0,0.004191727630990499,0.010034327964087668,50.0,26.0,0.21929824561403508,0.174496644295302,0.00039880699999999994,0.03208626580671405,1.0,1.0,0.0
a150_mu010_g002,R5,cold,5166.0,0.00032494636267683643,0.0009496860225722171,0.0013243163114280828,0.0022357394930539202,0.4897921478495685,0.047995661976716314,0.18255954747743725,0.0031632135600077435,46.73549821216376,0.24326581653864507,0.26198665984470837,0.49474752361664825,0.25358075115737533,0.24212128542497152,0.6375829408084671,0.0009496860225722171,0.05013550135501355,6.0,4.0,0.023166023166023165,0.016129032258064516,0.0024965800000000004,0.20073177714976123,0.0,0.0,0.0,0.0013243163114280828,0.010065814943863724,4.0,3.0,0.07692307692307693,0.058823529411764705,0.0016939800000000003,0.13620056872047062,0.0,0.0,0.0
a150_mu010_g002,R5,hot,18325.0,0.00037282162399506467,0.0012759119815338178,0.0021896305369628302,0.004599437465921023,0.5638572316553896,0.07295324632996474,0.2470989992611208,0.004864908952633015,57.86523528310223,0.3355341877630715,0.33286792209588895,0.33159789014104013,0.015000202025407472,-0.002603164788440082,0.4878547753512939,0.0012759119815338178,0.050040927694406545,9.0,6.0,0.009814612868047983,0.0071174377224199285,0.004022479999999999,0.3235965353398536,0.0,0.0,0.0,0.0021896305369628302,0.010040927694406548,4.0,3.0,0.021739130434782608,0.016216216216216217,0.0012412099999999995,0.09985164764751586,0.0,0.0,0.0
