perm,run,tag,regime_id,cycle,null_beta1_birth_area_delta,overload_asinh,beta1_birth_area_delta
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10179750904551288,0.4723967156796417,-0.0776029168994541
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10091701541679432,0.4723967156796417,-0.0776029168994541
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.09881665172389253,0.4723967156796417,-0.0776029168994541
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10293112441229413,0.4723967156796417,-0.0776029168994541
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.09965761621720592,0.4723967156796417,-0.0776029168994541
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10266428803936434,0.4723967156796417,-0.0776029168994541
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.09756784726341905,0.4723967156796417,-0.0776029168994541
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10053176902036998,0.4723967156796417,-0.0776029168994541
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.1024896397495293,0.4723967156796417,-0.0776029168994541
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.09934616786135436,0.4723967156796417,-0.0776029168994541
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.09969651349409131,0.4723967156796417,-0.0776029168994541
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10361439457151073,0.4723967156796417,-0.0776029168994541
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.1010391096412751,0.4723967156796417,-0.0776029168994541
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.1012688537132434,0.4723967156796417,-0.0776029168994541
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.09997862106901356,0.4723967156796417,-0.0776029168994541
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10102809814853991,0.4723967156796417,-0.0776029168994541
