perm,null_rho,null_p,n
0,0.8226991788051874,2.622757840643119e-60,240
1,0.8179777426691434,4.419949904803509e-59,240
2,0.8028854667615756,2.1841229768747316e-55,240
3,0.8239136096112778,1.2512331775534535e-60,240
4,0.8198510390805395,1.4555492972930909e-59,240
5,0.8126243511172068,9.859933046038835e-58,240
6,0.819903123318113,1.4110249758823047e-59,240
7,0.8107753606833451,2.815696767819794e-57,240
8,0.8229543915692978,2.2460319880304183e-60,240
9,0.826417125297314,2.6722363449910302e-61,240
10,0.8240750707477559,1.1334927018425924e-60,240
11,0.8162702477473566,1.2030808311628853e-58,240
12,0.80395406170246,1.2257304407060167e-55,240
13,0.8278859007968887,1.0678159492609382e-61,240
14,0.8197581555235333,1.5384281579890425e-59,240
15,0.8219083664646955,4.2339212313018125e-60,240
16,0.8222095869719959,3.5289310432777495e-60,240
17,0.8244196947863677,9.176221921490277e-61,240
18,0.8178058646851506,4.891014308689134e-59,240
19,0.8221462178162814,3.6668752896198615e-60,240
20,0.8185784475424919,3.099830259597736e-59,240
21,0.8057518359693743,4.600503537572464e-56,240
22,0.8226375457907253,2.722732090244191e-60,240
23,0.8194751644993835,1.820818367098214e-59,240
24,0.8141000711817911,4.2317187561608425e-58,240
