predictor,lag,null_index,rho_null
Psi,1,0,0.4080144859077311
Psi,1,1,-0.06970162179184379
Psi,1,2,0.477165013383719
Psi,1,3,0.2733821445441662
Psi,1,4,-0.36878050700677056
Psi,1,5,0.19580381042355535
Psi,1,6,-0.1894307982994804
Psi,1,7,0.01184852779089907
Psi,1,8,0.12581876869784284
Psi,1,9,-0.38183356951661157
Psi,1,10,0.07466147063454574
Psi,1,11,0.08492363407337426
Psi,1,12,0.23405762871988658
Psi,1,13,0.11101401354117461
Psi,1,14,0.542233506534404
Psi,1,15,-0.18476617855455832
Psi,1,16,0.0960990395213352
Psi,1,17,-0.041040780979373324
Psi,1,18,-0.23887576759565418
Psi,1,19,0.1182687765706188
Psi,1,20,-0.572905841599748
Psi,1,21,0.23058967091796564
Psi,1,22,0.30792788537238225
Psi,1,23,-0.15073216816249407
Psi,1,24,-0.15677452369705555
Psi,1,25,0.24418595496772158
Psi,1,26,0.3785466855613289
Psi,1,27,-0.38843489214296956
Psi,1,28,-0.03984018264840182
Psi,1,29,-0.31506062037474414
Psi,1,30,0.5520075578649032
Psi,1,31,-0.4543457723193197
Psi,1,32,-0.0027121713116044716
Psi,1,33,-0.37213430955755
Psi,1,34,-0.09425680995118878
Psi,1,35,-0.06458038104235553
Psi,1,36,0.017119351283262474
Psi,1,37,-0.17808219178082188
Psi,1,38,-0.0910604629192253
Psi,1,39,0.4470634545740828
Psi,1,40,0.21932372854668555
Psi,1,41,-0.06260037789324516
Psi,1,42,0.35320815619587465
Psi,1,43,-0.015686506062037472
Psi,1,44,-0.07895606991025035
Psi,1,45,0.228369548102661
Psi,1,46,0.03902535033852936
Psi,1,47,0.00802629507164226
Psi,1,48,-0.015792788537238228
Psi,1,49,-0.12289796882380727
Psi,1,50,0.06434026137616124
Psi,1,51,0.48363643520705396
Psi,1,52,0.034864588253818295
Psi,1,53,-0.09293024720516452
Psi,1,54,0.3809833097150055
Psi,1,55,-0.0019052117776728072
Psi,1,56,-0.3091954022988505
Psi,1,57,0.1891985514092269
Psi,1,58,-0.07661785545583373
Psi,1,59,-0.08975358211305307
Psi,1,60,0.26352149267831837
Psi,1,61,0.13375452684616593
Psi,1,62,-0.4686309242638954
Psi,1,63,0.11901669028499448
Psi,1,64,0.4509053692331916
Psi,1,65,-0.07689340261376161
Psi,1,66,-0.3653046764289088
Psi,1,67,-0.15354274917335853
Psi,1,68,-0.15614076523382142
Psi,1,69,-0.05588883640371595
Psi,1,70,-0.035675484175720355
Psi,1,71,-0.04513068808061722
Psi,1,72,0.7382144544166273
Psi,1,73,-0.36472602739726023
Psi,1,74,-0.40269248937175245
Psi,1,75,0.4247165800661313
Psi,1,76,-0.056384821287986144
Psi,1,77,0.14772870414108014
Psi,1,78,-0.06937490159030073
Psi,1,79,-0.5428436466698157
Psi,1,80,-0.3670996693434105
Psi,1,81,0.37476381672177606
Psi,1,82,-0.2771807589356007
Psi,1,83,0.08060935285781765
Psi,1,84,-0.04722878286883955
Psi,1,85,0.3059282002834199
Psi,1,86,-0.40220044087545265
Psi,1,87,0.15697134309557548
Psi,1,88,0.07311840655014958
Psi,1,89,-0.08779719729176508
Psi,1,90,0.001444654385136199
Psi,1,91,0.23306565895134623
Psi,1,92,0.23774208786017945
Psi,1,93,0.5156707605101558
Psi,1,94,0.20473153834041882
Psi,1,95,-0.0032790111793418357
Psi,1,96,-0.11377342150842386
Psi,1,97,0.13589592190206265
Psi,1,98,-0.09786647772004407
Psi,1,99,0.5248464808691544
Psi,1,100,-0.5958825381829633
Psi,1,101,0.17829082034325303
Psi,1,102,0.24314674854353643
Psi,1,103,0.17177609825224371
Psi,1,104,0.05355849472524011
Psi,1,105,0.2105495197606676
Psi,1,106,0.09357581483230987
Psi,1,107,0.07036293497087072
Psi,1,108,-0.162025665249567
Psi,1,109,-0.4194615021256495
Psi,1,110,-0.06766650921114785
Psi,1,111,-0.11307668083766333
Psi,1,112,0.08011730436151787
Psi,1,113,0.02941269091481656
Psi,1,114,-0.28793890725869936
Psi,1,115,-0.15248779719729175
Psi,1,116,0.35392457880648714
Psi,1,117,-0.18055030703826166
Psi,1,118,0.14101716265155093
Psi,1,119,-0.007506691859549677
Psi,1,120,-0.11189970083451423
Psi,1,121,-0.45045268461659577
Psi,1,122,-0.2665485750275547
Psi,1,123,-0.14471343095575498
Psi,1,124,-0.32043772634230827
Psi,1,125,0.19690993544323726
Psi,1,126,0.07372854668556131
Psi,1,127,-0.36903243583687606
Psi,1,128,0.35295622736576915
Psi,1,129,0.15972681467485436
Psi,1,130,-0.3399385923476617
Psi,1,131,-0.3474019839395371
Psi,1,132,-0.3730475515666824
Psi,1,133,-0.08466383246732798
Psi,1,134,0.19691387183120765
Psi,1,135,-0.02194929932294127
Psi,1,136,0.25754605573925365
Psi,1,137,0.5222445284207211
Psi,1,138,0.27675169264682725
Psi,1,139,0.0281136828845851
Psi,1,140,0.34404424500078723
Psi,1,141,0.6119981105337741
Psi,1,142,-0.1310187372067391
Psi,1,143,0.3405526688710439
Psi,1,144,0.046732797984569356
Psi,1,145,-0.25344040308612814
Psi,1,146,-0.04600850259801605
Psi,1,147,-0.03591560384191465
Psi,1,148,-0.09168634860651866
Psi,1,149,0.29805936073059364
Psi,1,150,0.04212328767123288
Psi,1,151,-0.11026609982679893
Psi,1,152,-0.18660447173673436
Psi,1,153,0.08432923948984411
Psi,1,154,0.4078097937332703
Psi,1,155,-0.06354904739411116
Psi,1,156,0.0721067548417572
Psi,1,157,-0.1269721303731696
Psi,1,158,0.2569792158715163
Psi,1,159,0.038572665721933554
Psi,1,160,0.3648952920799874
Psi,1,161,0.4570618800188946
Psi,1,162,0.04352464178869469
Psi,1,163,-0.1603094000944733
Psi,1,164,0.08404581955597543
Psi,1,165,0.19285939222169735
Psi,1,166,0.26693040466068335
Psi,1,167,-0.2864548889938592
Psi,1,168,-0.007077625570776256
Psi,1,169,-0.11697764131632812
Psi,1,170,-0.41421429696110845
Psi,1,171,0.06383246732797984
Psi,1,172,0.4116438356164383
Psi,1,173,-0.419733112895607
Psi,1,174,-0.0715950244056054
Psi,1,175,0.38565973862383873
Psi,1,176,0.3011730436151787
Psi,1,177,-0.1890843961580853
Psi,1,178,-0.28678554558337266
Psi,1,179,-0.2949535506219492
Psi,1,180,-0.45040544796095094
Psi,1,181,-0.023563218390804597
Psi,1,182,0.33697055581798135
Psi,1,183,-0.2593056211620217
Psi,1,184,-0.1410722720831365
Psi,1,185,0.09903164855928198
Psi,1,186,0.025582585419618952
Psi,1,187,0.40204692174460716
Psi,1,188,0.003137301212407495
Psi,1,189,0.403774996063612
Psi,1,190,0.05378680522752322
Psi,1,191,-0.35561722563375847
Psi,1,192,-0.3843213667139033
Psi,1,193,-0.25143284522122494
Psi,1,194,-0.06293103448275861
Psi,1,195,0.18278223901747753
Psi,1,196,-0.09771295858919854
Psi,1,197,0.26494646512360254
Psi,1,198,-0.04078885214926783
Psi,1,199,0.3731538340418831
Psi,1,200,0.009191465910880176
Psi,1,201,-0.18475043300267674
Psi,1,202,0.13256573767910565
Psi,1,203,-0.08829318217603527
Psi,1,204,-0.050161391906786326
Psi,1,205,0.32531884742560224
Psi,1,206,-0.022681467485435362
Psi,1,207,0.1976145488899386
Psi,1,208,-0.15021650133837192
Psi,1,209,-0.05271217131160447
Psi,1,210,0.25727838135726655
Psi,1,211,0.07337427176822547
Psi,1,212,-0.03243583687608251
Psi,1,213,-0.23990316485592816
Psi,1,214,0.45787671232876703
