predictor,permutation,null_mutual_information_bits,observed_mutual_information_bits
force-loop activation,0,0.05871502881700353,0.28660385956081846
force-loop activation,1,0.002011364128333947,0.28660385956081846
force-loop activation,2,0.002011364128333947,0.28660385956081846
force-loop activation,3,0.010152552384464518,0.28660385956081846
force-loop activation,4,0.04560505700616474,0.28660385956081846
force-loop activation,5,0.002011364128333947,0.28660385956081846
force-loop activation,6,0.026031681523491973,0.28660385956081846
force-loop activation,7,0.005819739884842436,0.28660385956081846
force-loop activation,8,0.010152552384464518,0.28660385956081846
force-loop activation,9,0.018713939390950406,0.28660385956081846
force-loop activation,10,0.03383527533012314,0.28660385956081846
force-loop activation,11,0.005819739884842436,0.28660385956081846
force-loop activation,12,0.005819739884842436,0.28660385956081846
force-loop activation,13,0.01728556445772176,0.28660385956081846
force-loop activation,14,0.025058116018906434,0.28660385956081846
force-loop activation,15,0.05285317182423582,0.28660385956081846
force-loop activation,16,0.005819739884842436,0.28660385956081846
force-loop activation,17,0.002011364128333947,0.28660385956081846
force-loop activation,18,0.002011364128333947,0.28660385956081846
force-loop activation,19,0.027828693151666518,0.28660385956081846
force-loop activation,20,0.022893887500357413,0.28660385956081846
force-loop activation,21,0.010152552384464518,0.28660385956081846
force-loop activation,22,0.010152552384464518,0.28660385956081846
force-loop activation,23,0.00814118825613057,0.28660385956081846
force-loop activation,24,0.07088039232496203,0.28660385956081846
force-loop activation,25,0.02490525162869136,0.28660385956081846
force-loop activation,26,0.0063441766279560274,0.28660385956081846
force-loop activation,27,0.026031681523491973,0.28660385956081846
force-loop activation,28,0.010152552384464518,0.28660385956081846
force-loop activation,29,0.030026899573614655,0.28660385956081846
force-loop activation,30,0.004022728256667894,0.28660385956081846
force-loop activation,31,0.020725303519284356,0.28660385956081846
force-loop activation,32,0.040259944024605226,0.28660385956081846
force-loop activation,33,0.01628237651226114,0.28660385956081846
force-loop activation,34,0.015274200329387814,0.28660385956081846
force-loop activation,35,0.019082576085896304,0.28660385956081846
force-loop activation,36,0.040784380767718814,0.28660385956081846
force-loop activation,37,0.010152552384464518,0.28660385956081846
force-loop activation,38,0.008355540756289975,0.28660385956081846
force-loop activation,39,0.02490525162869136,0.28660385956081846
force-loop activation,40,0.020725303519284356,0.28660385956081846
force-loop activation,41,0.0063441766279560274,0.28660385956081846
force-loop activation,42,0.008355540756289975,0.28660385956081846
force-loop activation,43,0.030026899573614655,0.28660385956081846
force-loop activation,44,0.04487622100801527,0.28660385956081846
force-loop activation,45,0.023415388585518383,0.28660385956081846
force-loop activation,46,0.0505796651604703,0.28660385956081846
force-loop activation,47,0.017925103945649192,0.28660385956081846
force-loop activation,48,0.03644018818519924,0.28660385956081846
force-loop activation,49,0.004022728256667894,0.28660385956081846
force-loop activation,50,0.002011364128333947,0.28660385956081846
force-loop activation,51,0.01347718870121327,0.28660385956081846
force-loop activation,52,0.03895692327504644,0.28660385956081846
force-loop activation,53,0.027828693151666518,0.28660385956081846
force-loop activation,54,0.002011364128333947,0.28660385956081846
force-loop activation,55,0.014485364884086598,0.28660385956081846
force-loop activation,56,0.005819739884842436,0.28660385956081846
force-loop activation,57,0.020572439129069277,0.28660385956081846
force-loop activation,58,0.03411873981391111,0.28660385956081846
force-loop activation,59,0.004022728256667894,0.28660385956081846
force-loop activation,60,0.020725303519284356,0.28660385956081846
force-loop activation,61,0.011270843074738978,0.28660385956081846
force-loop activation,62,0.03398813972033822,0.28660385956081846
force-loop activation,63,0.005819739884842436,0.28660385956081846
force-loop activation,64,0.023415388585518383,0.28660385956081846
force-loop activation,65,0.020572439129069277,0.28660385956081846
force-loop activation,66,0.02685512764708098,0.28660385956081846
force-loop activation,67,0.014485364884086598,0.28660385956081846
force-loop activation,68,0.019082576085896304,0.28660385956081846
force-loop activation,69,0.007831104013176384,0.28660385956081846
force-loop activation,70,0.049714404469150604,0.28660385956081846
force-loop activation,71,0.031318540240275944,0.28660385956081846
force-loop activation,72,0.017925103945649192,0.28660385956081846
force-loop activation,73,0.013960928140973007,0.28660385956081846
force-loop activation,74,0.01347718870121327,0.28660385956081846
force-loop activation,75,0.004022728256667894,0.28660385956081846
force-loop activation,76,0.020572439129069277,0.28660385956081846
force-loop activation,77,0.0063441766279560274,0.28660385956081846
force-loop activation,78,0.0063441766279560274,0.28660385956081846
force-loop activation,79,0.026031681523491973,0.28660385956081846
force-loop activation,80,0.0711266061477286,0.28660385956081846
