predictor,feature,quintile,n,rare_event_count,rare_event_probability,base_rate,risk_ratio_vs_base
lagged Psi,dimensionless_loop_number_z_lag2,1,28,0,0.0,0.16428571428571428,0.0
lagged Psi,dimensionless_loop_number_z_lag2,2,28,0,0.0,0.16428571428571428,0.0
lagged Psi,dimensionless_loop_number_z_lag2,3,28,2,0.07142857142857142,0.16428571428571428,0.43478260869565216
lagged Psi,dimensionless_loop_number_z_lag2,4,28,5,0.17857142857142858,0.16428571428571428,1.0869565217391304
lagged Psi,dimensionless_loop_number_z_lag2,5,28,16,0.5714285714285714,0.16428571428571428,3.4782608695652173
lagged loop,loop_activation_z_lag2,1,28,0,0.0,0.16428571428571428,0.0
lagged loop,loop_activation_z_lag2,2,28,0,0.0,0.16428571428571428,0.0
lagged loop,loop_activation_z_lag2,3,28,2,0.07142857142857142,0.16428571428571428,0.43478260869565216
lagged loop,loop_activation_z_lag2,4,28,5,0.17857142857142858,0.16428571428571428,1.0869565217391304
lagged loop,loop_activation_z_lag2,5,28,16,0.5714285714285714,0.16428571428571428,3.4782608695652173
lagged top-5% tail,top5_activation_z_lag2,1,28,11,0.39285714285714285,0.16428571428571428,2.391304347826087
lagged top-5% tail,top5_activation_z_lag2,2,28,5,0.17857142857142858,0.16428571428571428,1.0869565217391304
lagged top-5% tail,top5_activation_z_lag2,3,28,3,0.10714285714285714,0.16428571428571428,0.6521739130434783
lagged top-5% tail,top5_activation_z_lag2,4,28,4,0.14285714285714285,0.16428571428571428,0.8695652173913043
lagged top-5% tail,top5_activation_z_lag2,5,28,0,0.0,0.16428571428571428,0.0
lagged cold loop,force_h1_birth_force_share_cold_z_lag2,1,28,5,0.17857142857142858,0.16428571428571428,1.0869565217391304
lagged cold loop,force_h1_birth_force_share_cold_z_lag2,2,28,4,0.14285714285714285,0.16428571428571428,0.8695652173913043
lagged cold loop,force_h1_birth_force_share_cold_z_lag2,3,28,3,0.10714285714285714,0.16428571428571428,0.6521739130434783
lagged cold loop,force_h1_birth_force_share_cold_z_lag2,4,28,6,0.21428571428571427,0.16428571428571428,1.3043478260869565
lagged cold loop,force_h1_birth_force_share_cold_z_lag2,5,28,5,0.17857142857142858,0.16428571428571428,1.0869565217391304
