predictor,bin,n,mean_score,rare_event_probability,rare_event_count
force-loop activation,1,30,-1.7827658690347354,0.03333333333333333,1
force-loop activation,2,30,-0.3357594245636559,0.0,0
force-loop activation,3,30,0.009510310656986357,0.03333333333333333,1
force-loop activation,4,30,0.4375419495619495,0.26666666666666666,8
force-loop activation,5,30,2.161812174898222,0.6666666666666666,20
top-5% force tail,1,30,-1.5141608235143889,0.5,15
top-5% force tail,2,30,-0.525580594803064,0.16666666666666666,5
top-5% force tail,3,30,-0.04646082376759612,0.2,6
top-5% force tail,4,30,0.2980448219973363,0.1,3
top-5% force tail,5,30,0.944426541302463,0.03333333333333333,1
giant-component change,1,30,-1.4270975944360818,0.3,9
giant-component change,2,30,-0.4053094002042,0.1,3
giant-component change,3,30,0.0044984870050525224,0.06666666666666667,2
giant-component change,4,30,0.3076295927099197,0.06666666666666667,2
giant-component change,5,30,0.730651956082531,0.4666666666666667,14
wall-spanning proxy,1,30,-2.2633616601350415,0.13333333333333333,4
wall-spanning proxy,2,30,-0.5557402305261895,0.16666666666666666,5
wall-spanning proxy,3,30,-0.005484411854465741,0.16666666666666666,5
wall-spanning proxy,4,30,0.2190587409932392,0.3,9
wall-spanning proxy,5,30,16.107890490346215,0.23333333333333334,7
