predictor,predictor_column,lag_cycles,bins,n,observed_mi_bits,null_median_mi_bits,null_q025_mi_bits,null_q975_mi_bits,bias_corrected_mi_bits,bias_corrected_normalised_mi,bootstrap_median_corrected_mi_bits,bootstrap_q025_corrected_mi_bits,bootstrap_q975_corrected_mi_bits,circular_shift_p
Psi,psi_z,0,2,150,0.4334904934470948,0.0217823340645752,0.000128243359151,0.1445491894398692,0.4117081593825196,0.4117081593825196,0.4117081593825196,0.23041150760419238,0.6248583309140034,0.0006662225183211193
Psi,psi_z,0,3,150,0.6532042240109059,0.07594886024586404,0.011429547811572993,0.23449617654052463,0.5772553637650419,0.36420758440807993,0.5796590874345375,0.40706674194413445,0.7737780609088316,0.0006662225183211193
Psi,psi_z,0,4,150,0.8144363005341176,0.1261357728133668,0.051754259093886444,0.29158543023897926,0.6883005277207508,0.3441723327684159,0.7287684007505109,0.552405584884475,0.9292005181888868,0.0006662225183211193
Psi,psi_z,0,5,150,0.9580772993469139,0.21243992530246847,0.11008296318836926,0.3961990999064271,0.7456373740444454,0.3211285378243449,0.7910920752480999,0.6049091163380116,0.9884387416514537,0.0006662225183211193
Psi,psi_z,2,2,140,0.44649273454527466,0.0213038551699053,0.0,0.1775957740450109,0.42518887937536937,0.42518887937536937,0.3870233662477673,0.22910088757061475,0.6074638181892192,0.0006662225183211193
Psi,psi_z,2,3,140,0.5801636697880503,0.0781283745781937,0.015368717943900493,0.24662509371312694,0.5020352952098567,0.31676375124921025,0.4841035855776276,0.3453260344456609,0.6528310122204793,0.0006662225183211193
Psi,psi_z,2,4,140,0.7701363721194796,0.12881705147506683,0.05348129236782741,0.30557358062645773,0.6413193206444128,0.3206596603222064,0.6321731122570506,0.4483242228701795,0.8238884584545836,0.0006662225183211193
Psi,psi_z,2,5,140,0.8036478475629054,0.2138521067170262,0.12194502255391117,0.3956997968309535,0.5897957408458792,0.25401119963385016,0.6472637046485018,0.49039617124989104,0.8295121156025987,0.0006662225183211193
Psi,psi_z,4,2,130,0.34405792423058507,0.0290494055453313,0.0001707398766064,0.148775664737862,0.31500851868525376,0.31500851868525376,0.2808802291262669,0.11972625919253074,0.4328094092322184,0.0006662225183211193
Psi,psi_z,4,3,130,0.37331551414714736,0.07812805695346176,0.0152541417501583,0.21682653739683044,0.2951874571936856,0.1862525558172882,0.33081396619896314,0.1883731293770778,0.5014615042871581,0.0006662225183211193
Psi,psi_z,4,4,130,0.5222322460018822,0.13319627197648864,0.05787208680109751,0.2848299457526908,0.3890359740253936,0.19453459441902018,0.41466821543021837,0.24538777565090106,0.5861696384939423,0.0006662225183211193
Psi,psi_z,4,5,130,0.5659876403566917,0.21010746982324563,0.11508042634029304,0.39190780389148894,0.35588017053344606,0.1532692469319167,0.43399712147249997,0.27525897857207104,0.629744413117289,0.0006662225183211193
Psi,psi_z,6,2,120,0.18872187554086717,0.0201312433488472,0.0,0.15228591186495166,0.16859063219201997,0.16859063219201997,0.14322801470998547,0.061572922596663186,0.2925536638202254,0.003997335109926716
Psi,psi_z,6,3,120,0.31898477494570787,0.0771298056350768,0.01462811161032207,0.22181684070367755,0.24185496931063105,0.15259349618718887,0.24610578876520206,0.11196910010016209,0.4293322696110024,0.0013324450366422385
Psi,psi_z,6,4,120,0.4108969556057881,0.14433985071430794,0.06732242871373384,0.296190073944621,0.26655710489148016,0.13327855244574008,0.30667260978938515,0.1408252471431277,0.49496840597951003,0.002664890073284477
Psi,psi_z,6,5,120,0.4367922190163197,0.20821691729703157,0.11021765299351062,0.3780310118037937,0.22857530171928814,0.09844202420505034,0.3380366161601629,0.17617066737490583,0.5294233032472516,0.004663557628247834
loop activation,loop_z,0,2,150,0.4334904934470948,0.0217823340645752,0.000128243359151,0.1633592580588326,0.4117081593825196,0.4117081593825196,0.4117081593825196,0.23041150760419238,0.6248583309140034,0.0006662225183211193
loop activation,loop_z,0,3,150,0.6532042240109059,0.0755214651240994,0.012696225167757928,0.2370205071199342,0.5776827588868065,0.36447724070693255,0.5800239928455495,0.39937755592991103,0.776362639942084,0.0006662225183211193
loop activation,loop_z,0,4,150,0.8144363005341176,0.12777299619060314,0.04978815145657607,0.31558480041738396,0.6866633043435145,0.3433536685856754,0.7234595193879787,0.5440241025348959,0.9290262905835324,0.0006662225183211193
loop activation,loop_z,0,5,150,0.9580772993469139,0.21030552517732645,0.1091579556516064,0.3912641650390341,0.7477717741695874,0.32204777392379247,0.794767122265307,0.6146681345273941,0.989427995337948,0.0006662225183211193
loop activation,loop_z,2,2,140,0.44649273454527466,0.0213038551699053,0.0,0.1564929144260963,0.42518887937536937,0.42518887937536937,0.3870233662477673,0.22910088757061475,0.6074638181892192,0.0006662225183211193
loop activation,loop_z,2,3,140,0.5801636697880503,0.07814582220648175,0.0119095560102758,0.22776299464738836,0.5020178475815686,0.3167527425089092,0.47815883677472865,0.3491141109750936,0.6455602843399932,0.0006662225183211193
loop activation,loop_z,2,4,140,0.7701363721194796,0.130152372662855,0.058295690946873764,0.31179384368063157,0.6399839994566245,0.31999199972831227,0.6305789211281054,0.4481159171809015,0.8195328310631915,0.0006662225183211193
loop activation,loop_z,2,5,140,0.8036478475629054,0.2138619065836643,0.12034098456105294,0.38798973407180043,0.5897859409792411,0.25400697906101694,0.6436222839364305,0.47907891704287936,0.8319076576656331,0.0006662225183211193
loop activation,loop_z,4,2,130,0.34405792423058507,0.0290494055453313,0.0001707398766064,0.1709409306003342,0.31500851868525376,0.31500851868525376,0.2808802291262669,0.13025476047720508,0.4328094092322184,0.0006662225183211193
