test,lag_cycles,bins,n,conditional_mi_bits,conditional_mi_fraction_of_target_entropy,target_entropy_bits
Psi | tail,0,2,150,0.4623556198135147,0.4623556198135147,1.0
tail | Psi,0,2,150,0.0444382285664086,0.0444382285664086,1.0
loop | tail,0,2,150,0.4623556198135147,0.4623556198135147,1.0
cold loop | Psi,0,2,150,0.014803774074162238,0.014803774074162238,1.0
Psi | tail,0,3,150,0.6264240909928938,0.3952295973613707,1.584962500721156
tail | Psi,0,3,150,0.10359863931061986,0.06536346397058769,1.584962500721156
loop | tail,0,3,150,0.6264240909928938,0.3952295973613707,1.584962500721156
cold loop | Psi,0,3,150,0.05642646736620538,0.035601137150267845,1.584962500721156
Psi | tail,0,4,150,0.8801739437208939,0.44011519278581507,1.999871756640849
tail | Psi,0,4,150,0.37169889734878747,0.1858613664173766,1.999871756640849
loop | tail,0,4,150,0.8801739437208939,0.44011519278581507,1.999871756640849
cold loop | Psi,0,4,150,0.13558786714098256,0.06779828091013557,1.999871756640849
Psi | tail,0,5,150,0.940235508253588,0.40493739247304267,2.321928094887362
tail | Psi,0,5,150,0.4806166157018341,0.2069903098033486,2.321928094887362
loop | tail,0,5,150,0.940235508253588,0.40493739247304267,2.321928094887362
cold loop | Psi,0,5,150,0.3356584838044846,0.1445602404930492,2.321928094887362
Psi | tail,2,2,140,0.43162257249801356,0.43162257249801356,1.0
tail | Psi,2,2,140,0.014179243498070277,0.014179243498070277,1.0
loop | tail,2,2,140,0.43162257249801356,0.43162257249801356,1.0
cold loop | Psi,2,2,140,0.035371452409254094,0.035371452409254094,1.0
Psi | tail,2,3,140,0.5252918626979339,0.3314376947527728,1.5848887166855343
tail | Psi,2,3,140,0.04458298757986345,0.02813004289228553,1.5848887166855343
loop | tail,2,3,140,0.5252918626979339,0.3314376947527728,1.5848887166855343
cold loop | Psi,2,3,140,0.06345221408191999,0.04003575356042481,1.5848887166855343
Psi | tail,2,4,140,0.8486578699439395,0.4243289349719698,2.0
tail | Psi,2,4,140,0.20063656636684077,0.10031828318342038,2.0
loop | tail,2,4,140,0.8486578699439395,0.4243289349719698,2.0
cold loop | Psi,2,4,140,0.14779661847676615,0.07389830923838307,2.0
Psi | tail,2,5,140,0.8925168220831867,0.3843860729573898,2.321928094887362
tail | Psi,2,5,140,0.33613759239283447,0.1447665813308231,2.321928094887362
loop | tail,2,5,140,0.8925168220831867,0.3843860729573898,2.321928094887362
cold loop | Psi,2,5,140,0.22792405800542945,0.09816154880389875,2.321928094887362
