predictor,predictor_column,lag_cycles,bins,n,mi_bits,normalised_mi,circular_shift_p,null_q025,null_q975
Psi,psi_z,0,2,150,0.4334904934470948,0.4334904934470948,0.0006662225183211193,0.00012824335915107878,0.14454918943986927
Psi,psi_z,0,3,150,0.6532042240109059,0.412125980087036,0.0006662225183211193,0.011429547811573048,0.23449617654052465
Psi,psi_z,0,4,150,0.8144363005341176,0.4072442634532289,0.0006662225183211193,0.05175425909388647,0.29158543023897926
Psi,psi_z,0,5,150,0.9580772993469139,0.41262143365098075,0.0006662225183211193,0.11008296318836928,0.3961990999064271
Psi,psi_z,2,2,140,0.44649273454527466,0.44649273454527466,0.0006662225183211193,0.0,0.17759577404501092
Psi,psi_z,2,3,140,0.5801636697880503,0.3660595622141485,0.0006662225183211193,0.015368717943900507,0.24662509371312696
Psi,psi_z,2,4,140,0.7701363721194796,0.3850681860597398,0.0006662225183211193,0.05348129236782745,0.30557358062645773
Psi,psi_z,2,5,140,0.8036478475629054,0.346112288891483,0.0006662225183211193,0.12194502255391122,0.3956997968309536
Psi,psi_z,4,2,130,0.34405792423058507,0.34405792423058507,0.0006662225183211193,0.00017073987660646758,0.14877566473786205
Psi,psi_z,4,3,130,0.37331551414714736,0.23554851990384149,0.0006662225183211193,0.01525414175015835,0.21682653739683047
Psi,psi_z,4,4,130,0.5222322460018822,0.26113841637143537,0.0006662225183211193,0.057872086801097566,0.2848299457526908
Psi,psi_z,4,5,130,0.5659876403566917,0.24375760886090145,0.0006662225183211193,0.1150804263402931,0.39190780389148894
Psi,psi_z,6,2,120,0.18872187554086717,0.18872187554086717,0.011325782811459028,0.0,0.1522859118649517
Psi,psi_z,6,3,120,0.31898477494570787,0.2012569854495423,0.0013324450366422385,0.01462811161032215,0.2218168407036776
Psi,psi_z,6,4,120,0.4108969556057881,0.20544847780289405,0.002664890073284477,0.0673224287137339,0.296190073944621
Psi,psi_z,6,5,120,0.4367922190163197,0.18811616947918824,0.004663557628247834,0.11021765299351066,0.3780310118037937
loop activation,loop_z,0,2,150,0.4334904934470948,0.4334904934470948,0.0006662225183211193,0.00012824335915107878,0.16335925805883267
loop activation,loop_z,0,3,150,0.6532042240109059,0.412125980087036,0.0006662225183211193,0.012696225167757954,0.23702050711993425
loop activation,loop_z,0,4,150,0.8144363005341176,0.4072442634532289,0.0006662225183211193,0.049788151456576106,0.315584800417384
loop activation,loop_z,0,5,150,0.9580772993469139,0.41262143365098075,0.0006662225183211193,0.10915795565160644,0.39126416503903416
loop activation,loop_z,2,2,140,0.44649273454527466,0.44649273454527466,0.0006662225183211193,0.0,0.1564929144260963
loop activation,loop_z,2,3,140,0.5801636697880503,0.3660595622141485,0.0006662225183211193,0.011909556010275865,0.22776299464738842
loop activation,loop_z,2,4,140,0.7701363721194796,0.3850681860597398,0.0006662225183211193,0.05829569094687378,0.31179384368063157
loop activation,loop_z,2,5,140,0.8036478475629054,0.346112288891483,0.0006662225183211193,0.12034098456105297,0.3879897340718005
loop activation,loop_z,4,2,130,0.34405792423058507,0.34405792423058507,0.0006662225183211193,0.00017073987660646758,0.17094093060033427
loop activation,loop_z,4,3,130,0.37331551414714736,0.23554851990384149,0.0006662225183211193,0.016108651333173237,0.23075662824087267
loop activation,loop_z,4,4,130,0.5222322460018822,0.26113841637143537,0.0013324450366422385,0.055623897404169884,0.30867482341088837
loop activation,loop_z,4,5,130,0.5659876403566917,0.24375760886090145,0.0006662225183211193,0.11913343015560776,0.38407683226573985
loop activation,loop_z,6,2,120,0.18872187554086717,0.18872187554086717,0.009327115256495669,0.0,0.14004695028224784
loop activation,loop_z,6,3,120,0.31898477494570787,0.2012569854495423,0.002664890073284477,0.014591386677582389,0.20459851655982858
loop activation,loop_z,6,4,120,0.4108969556057881,0.20544847780289405,0.0013324450366422385,0.059884832467704416,0.30626344738901573
loop activation,loop_z,6,5,120,0.4367922190163197,0.18811616947918824,0.004663557628247834,0.10360522255568878,0.3830260066451279
top-5% tail,tail_z,0,2,150,0.015573102199988705,0.015573102199988705,0.5116588940706196,0.00012824335915107878,0.11071184727276032
top-5% tail,tail_z,0,3,150,0.13037877232863207,0.082259846696253,0.09460359760159893,0.0091355759961301,0.17350580970195117
top-5% tail,tail_z,0,4,150,0.30596125416201103,0.15299043708479038,0.0006662225183211193,0.034633304298291735,0.22085186382054536
top-5% tail,tail_z,0,5,150,0.49845840679515996,0.2146743509812867,0.0006662225183211193,0.08361414423264299,0.3178327164488649
top-5% tail,tail_z,2,2,140,0.029049405545331364,0.029049405545331364,0.45169886742171883,0.0,0.1187091007693073
top-5% tail,tail_z,2,3,140,0.09945479466997995,0.0627519103536613,0.27048634243837444,0.009085354852118869,0.184453427447522
top-5% tail,tail_z,2,4,140,0.12211506854238083,0.061057534271190414,0.4397068620919387,0.032376156729816856,0.23855996951182826
top-5% tail,tail_z,2,5,140,0.2472686178725531,0.10649279726491626,0.1245836109260493,0.07701917659440939,0.3143647188615441
top-5% tail,tail_z,4,2,130,0.03876339527712422,0.03876339527712422,0.3271152564956695,0.00017073987660646758,0.0923038346391617
top-5% tail,tail_z,4,3,130,0.0341368892187423,0.021539136266452416,0.7341772151898734,0.007260175684981236,0.1630605064596823
top-5% tail,tail_z,4,4,130,0.08050626471965647,0.04025656906064524,0.6862091938707529,0.02781487356763365,0.23370395281838377
top-5% tail,tail_z,4,5,130,0.12026811179940484,0.051796656435753714,0.8474350433044637,0.07946408974967432,0.31995296231949477
top-5% tail,tail_z,6,2,120,0.0396377296845222,0.0396377296845222,0.34776815456362425,0.0,0.09928032013764071
top-5% tail,tail_z,6,3,120,0.10143364793125467,0.06399750649312048,0.217854763491006,0.010773163362054791,0.1618489084660695
top-5% tail,tail_z,6,4,120,0.13980380617791252,0.06990190308895626,0.2618254497001999,0.030232668361074973,0.23939530503755338
top-5% tail,tail_z,6,5,120,0.19781679895002838,0.08519505810089462,0.2691538974017322,0.07249023433243215,0.28624327449709747
cold loop memory,cold_loop_z,0,2,150,0.0011544640047981974,0.0011544640047981974,0.866089273817455,0.00012824335915107878,0.0689441766149671
cold loop memory,cold_loop_z,0,3,150,0.06721701666622584,0.04240921576103042,0.06728847435043304,0.004583037458849576,0.08471666961352059
cold loop memory,cold_loop_z,0,4,150,0.05126280597109774,0.02563304661955075,0.7514990006662225,0.023125389730082595,0.1609464151975238
cold loop memory,cold_loop_z,0,5,150,0.10073945448435417,0.0433861215195129,0.810126582278481,0.07013649299403432,0.2293361256265313
cold loop memory,cold_loop_z,2,2,140,0.005306204638694162,0.005306204638694162,0.6895403064623584,0.0,0.08653985474303705
cold loop memory,cold_loop_z,2,3,140,0.05052300110928132,0.03187794863915726,0.13524317121918722,0.003254361343102324,0.08327821274962986
cold loop memory,cold_loop_z,2,4,140,0.06674710423033342,0.03337355211516671,0.5689540306462358,0.029912779572856242,0.16309283562604643
cold loop memory,cold_loop_z,2,5,140,0.07898278964796109,0.0340160359926187,0.9320453031312458,0.06791128540022943,0.22176249357719496
cold loop memory,cold_loop_z,4,2,130,0.01387391536976175,0.01387391536976175,0.5016655562958028,0.00017073987660646758,0.07666111100555703
cold loop memory,cold_loop_z,4,3,130,0.02825974988706073,0.017830874974368572,0.4423717521652232,0.0037488670092262954,0.09769997490641345
cold loop memory,cold_loop_z,4,4,130,0.07559251845528969,0.037799486167446855,0.5023317788141239,0.022667095169991026,0.1719149120236708
cold loop memory,cold_loop_z,4,5,130,0.14115878475983346,0.06079377956218801,0.44103930712858097,0.06347598214461762,0.2557367848705828
cold loop memory,cold_loop_z,6,2,120,0.029049405545331364,0.029049405545331364,0.3324450366422385,0.0,0.09928032013764071
cold loop memory,cold_loop_z,6,3,120,0.03819524876382106,0.024098518890158138,0.46768820786142573,0.0036716014904636593,0.13205853806496734
cold loop memory,cold_loop_z,6,4,120,0.10044505569712116,0.05022252784856058,0.3864090606262492,0.02098734770253242,0.1866038177847643
cold loop memory,cold_loop_z,6,5,120,0.13304256738050485,0.05729831499668331,0.5502998001332445,0.066834584072412,0.29047289055547393
