predictor,predictor_column,target,lag_cycles,n,mi_bits,normalised_mi,route_centered_spearman,circular_shift_p,null_q025,null_q975
Psi,psi_z,overload tertile,0,150,0.6532042240109059,0.412125980087036,0.8701986754966888,0.00039984006397441024,0.011066347518020157,0.2368739333575241
Psi,psi_z,rare overload,0,150,0.18550087084526112,0.2569520041662925,0.5577327542360986,0.00039984006397441024,0.0012038803614930985,0.0951243425416976
Psi,psi_z,overload tertile,1,145,0.11581340978904729,0.0730732824757857,0.2249370177924736,0.11595361855257896,0.007504263863330055,0.18881528732178615
Psi,psi_z,rare overload,1,145,0.09029769339082439,0.13307134747574553,0.14425091615468047,0.025189924030387844,0.0006520303623038627,0.08897917574674322
Psi,psi_z,overload tertile,2,140,0.5801636697880503,0.3660595622141485,0.8262797664603881,0.00039984006397441024,0.01292551860628535,0.24515122288912233
Psi,psi_z,rare overload,2,140,0.2664710342157501,0.4134766902079651,0.34177747610022274,0.00039984006397441024,0.0006454532270487347,0.08767985481618601
Psi,psi_z,overload tertile,3,135,0.0215648345772452,0.01360589576563056,0.1046044288362111,0.8300679728108756,0.006569767410019425,0.18294818862446913
Psi,psi_z,rare overload,3,135,0.025732597835557307,0.04252010673915575,-0.022620423153676916,0.3714514194322271,0.0006366023072539176,0.08803577675390871
Psi,psi_z,overload tertile,4,130,0.37331551414714736,0.23554851990384149,0.7196192765161342,0.00039984006397441024,0.014574893695481211,0.22143010281159103
Psi,psi_z,rare overload,4,130,0.10536513684783466,0.18160281782570376,0.17258863091272783,0.010795681727309077,0.0018719136417676033,0.0968398292634009
Psi,psi_z,overload tertile,5,125,0.02394695156994556,0.015109726850295994,0.017364055299539168,0.8136745301879248,0.006864180619297613,0.17958838639747676
Psi,psi_z,rare overload,5,125,1.2663919513630816e-05,2.392303689989661e-05,-0.0672579440243023,1.0,1.2663919513630816e-05,0.08953540630756714
Psi,psi_z,overload tertile,6,120,0.31898477494570787,0.2012569854495423,0.6183346065699007,0.00039984006397441024,0.012863575958058752,0.2091288386379212
Psi,psi_z,rare overload,6,120,0.07275622557829106,0.14702141131138577,0.14054469855349222,0.09436225509796081,0.001016353142824531,0.09633834040700083
loop activation,loop_z,overload tertile,0,150,0.6532042240109059,0.412125980087036,0.8701986754966888,0.00039984006397441024,0.009709502743422643,0.2351546409964106
loop activation,loop_z,rare overload,0,150,0.18550087084526112,0.2569520041662925,0.5577327542360986,0.00039984006397441024,0.0012038803614930985,0.09586734410981443
