scope,x,y,n,spearman,p_value
route,storage_anisotropy,mean_overload_number,5,0.39999999999999997,0.5046315754686911
route,dissipativity_margin,mean_overload_number,5,-0.39999999999999997,0.5046315754686911
route,output_direction_storage,mean_overload_number,5,0.39999999999999997,0.5046315754686911
route,hot_axis_storage,mean_overload_number,5,0.39999999999999997,0.5046315754686911
route,storage_anisotropy,spectral_radius,5,0.7,0.18812040437418728
within_R1,lyapunov_storage,overload_response_asinh,30,0.03314794215795328,0.8619506877791012
within_R3,lyapunov_storage,overload_response_asinh,30,-0.09187986651835373,0.6291762510393837
within_R5,lyapunov_storage,overload_response_asinh,30,0.11590656284760845,0.5419067520538154
within_R6,lyapunov_storage,overload_response_asinh,30,0.0771968854282536,0.6851362734557047
within_R6c,lyapunov_storage,overload_response_asinh,30,0.17953281423804227,0.342467148142791
mean_abs_within_route,lyapunov_storage,overload_response_asinh,5,0.09953281423804225,
within_R1,storage_drop_map,overload_response_asinh,30,-0.0037819799777530586,0.9841753330448095
within_R3,storage_drop_map,overload_response_asinh,30,0.3997775305895439,0.028609695947238247
within_R5,storage_drop_map,overload_response_asinh,30,0.14571746384872078,0.4422920541768921
within_R6,storage_drop_map,overload_response_asinh,30,0.09098998887652948,0.632514915493978
within_R6c,storage_drop_map,overload_response_asinh,30,0.18442714126807563,0.32924823106175793
mean_abs_within_route,storage_drop_map,overload_response_asinh,5,0.16493882091212458,
within_R1,storage_drop_observed,overload_response_asinh,29,-0.003448275862068965,0.9858361244602545
within_R3,storage_drop_observed,overload_response_asinh,29,-0.3389162561576354,0.07209914427967054
within_R5,storage_drop_observed,overload_response_asinh,29,-0.15517241379310343,0.4215367741534133
within_R6,storage_drop_observed,overload_response_asinh,29,0.051724137931034475,0.7898781073350564
within_R6c,storage_drop_observed,overload_response_asinh,29,0.12167487684729061,0.5295061285339406
mean_abs_within_route,storage_drop_observed,overload_response_asinh,5,0.13418719211822658,
within_R1,euclidean_state_energy,overload_response_asinh,30,-0.0037819799777530586,0.9841753330448095
within_R3,euclidean_state_energy,overload_response_asinh,30,0.3997775305895439,0.028609695947238247
within_R5,euclidean_state_energy,overload_response_asinh,30,0.14571746384872078,0.4422920541768921
within_R6,euclidean_state_energy,overload_response_asinh,30,0.09098998887652948,0.632514915493978
within_R6c,euclidean_state_energy,overload_response_asinh,30,0.18442714126807563,0.32924823106175793
mean_abs_within_route,euclidean_state_energy,overload_response_asinh,5,0.16493882091212458,
within_R1,hot_excitation_coordinate,overload_response_asinh,30,0.6338153503893215,0.0001696944907691912
within_R3,hot_excitation_coordinate,overload_response_asinh,30,0.9421579532814239,8.052686534169987e-15
within_R5,hot_excitation_coordinate,overload_response_asinh,30,0.8242491657397107,2.1655533866279298e-08
within_R6,hot_excitation_coordinate,overload_response_asinh,30,0.8807563959955507,1.3686102732169856e-10
within_R6c,hot_excitation_coordinate,overload_response_asinh,30,0.8042269187986651,8.59264578208676e-08
mean_abs_within_route,hot_excitation_coordinate,overload_response_asinh,5,0.8170411568409344,
