target,model_family,features,validation,n,r2_vs_training_mean,spearman_y_yhat
overload_number_asinh,controls only,alpha_mult;friction;lid_gap_radii,leave_one_route_out,150,-5.743451686974158,0.31517468419779593
overload_number_asinh,controls only,alpha_mult;friction;lid_gap_radii,within_route_forward_60_40,60,0.0,0.8737727073418934
overload_number_asinh,cold fabric,cold_memory_index,leave_one_route_out,150,0.13577503747191821,-0.052801285608266336
overload_number_asinh,cold fabric,cold_memory_index,within_route_forward_60_40,60,0.0,0.8737727073418934
overload_number_asinh,force tail,dimensionless_top5_number,leave_one_route_out,150,-0.26321752844846946,-0.8829850215565137
overload_number_asinh,force tail,dimensionless_top5_number,within_route_forward_60_40,60,0.28673094119764087,0.7692136704640179
overload_number_asinh,loop activation,loop_activation,leave_one_route_out,150,0.7455672628456257,0.8875398906618073
overload_number_asinh,loop activation,loop_activation,within_route_forward_60_40,60,0.84799126303795,0.9499861072520147
overload_number_asinh,dimensionless loop,dimensionless_loop_number,leave_one_route_out,150,0.8196535299821777,0.9313107249211076
overload_number_asinh,dimensionless loop,dimensionless_loop_number,within_route_forward_60_40,60,0.8479912630379509,0.9499861072520147
overload_number_asinh,loop + modifiers,dimensionless_loop_number;peak_normalized_gain;antisymmetric_strength;absolute_circulation;phase_speed;tangential_fraction,leave_one_route_out,145,0.4955684408319362,0.7412454731538339
overload_number_asinh,loop + modifiers,dimensionless_loop_number;peak_normalized_gain;antisymmetric_strength;absolute_circulation;phase_speed;tangential_fraction,within_route_forward_60_40,55,0.9396901143047827,0.9706349206349209
