scope,x,y,n,spearman,p_value
route,one_step_output_gain,mean_overload_number,5,0.39999999999999997,0.5046315754686911
route,direct_output_sensitivity,mean_overload_number,5,0.8999999999999998,0.03738607346849875
route,direct_hot_fraction,mean_overload_number,5,0.8999999999999998,0.03738607346849875
route,nonreciprocal_bias,one_step_output_gain,5,-0.7,0.18812040437418728
route,mean_dimensionless_loop_number,one_step_output_gain,5,0.39999999999999997,0.5046315754686911
within_R1,overload_readout_projection,overload_response_asinh,30,0.7121245828698554,1.0165947453160943e-05
within_R3,overload_readout_projection,overload_response_asinh,30,0.9604004449388208,4.480357501810005e-17
within_R5,overload_readout_projection,overload_response_asinh,30,0.8576195773081201,1.4119521904917333e-09
within_R6,overload_readout_projection,overload_response_asinh,30,0.875417130144605,2.441979538104623e-10
within_R6c,overload_readout_projection,overload_response_asinh,30,0.9110122358175751,2.756461854078618e-12
mean_abs_within_route,overload_readout_projection,overload_response_asinh,5,0.8633147942157953,
within_R1,post_map_output_projection,overload_response_asinh,30,0.6298109010011124,0.00019197761818679388
within_R3,post_map_output_projection,overload_response_asinh,30,-0.7423804226918799,2.645078812810586e-06
within_R5,post_map_output_projection,overload_response_asinh,30,0.8567296996662959,1.5317970815696447e-09
within_R6,post_map_output_projection,overload_response_asinh,30,0.8193548387096774,3.080263956770426e-08
within_R6c,post_map_output_projection,overload_response_asinh,30,0.8545050055617353,1.8733973209171136e-09
mean_abs_within_route,post_map_output_projection,overload_response_asinh,5,0.7805561735261402,
within_R1,dangerous_input_projection,overload_response_asinh,30,0.6298109010011124,0.00019197761818679388
within_R3,dangerous_input_projection,overload_response_asinh,30,-0.7423804226918799,2.645078812810586e-06
within_R5,dangerous_input_projection,overload_response_asinh,30,0.8567296996662959,1.5317970815696447e-09
within_R6,dangerous_input_projection,overload_response_asinh,30,0.8193548387096774,3.080263956770426e-08
within_R6c,dangerous_input_projection,overload_response_asinh,30,0.8545050055617353,1.8733973209171136e-09
mean_abs_within_route,dangerous_input_projection,overload_response_asinh,5,0.7805561735261402,
within_R1,hot_excitation_coordinate,overload_response_asinh,30,0.6338153503893215,0.0001696944907691912
within_R3,hot_excitation_coordinate,overload_response_asinh,30,0.9421579532814239,8.052686534169987e-15
within_R5,hot_excitation_coordinate,overload_response_asinh,30,0.8242491657397107,2.1655533866279298e-08
within_R6,hot_excitation_coordinate,overload_response_asinh,30,0.8807563959955507,1.3686102732169856e-10
within_R6c,hot_excitation_coordinate,overload_response_asinh,30,0.8042269187986651,8.59264578208676e-08
mean_abs_within_route,hot_excitation_coordinate,overload_response_asinh,5,0.8170411568409344,
