relationship,x,y,n_routes,spearman,exact_p_two_sided
half_area_cycle vs mean_overload,half_area_cycle,mean_overload,5,0.9746794344808963,0.03333333333333333
half_area_cycle vs loop_gain,half_area_cycle,loop_gain,5,0.9746794344808963,0.03333333333333333
half_area_cycle vs S,half_area_cycle,S,5,0.9746794344808963,0.03333333333333333
early_fraction vs mean_overload,early_fraction,mean_overload,5,-0.19999999999999998,0.7833333333333333
early_fraction vs loop_gain,early_fraction,loop_gain,5,-0.19999999999999998,0.7833333333333333
early_fraction vs S,early_fraction,S,5,-0.19999999999999998,0.7833333333333333
middle_fraction vs mean_overload,middle_fraction,mean_overload,5,0.09999999999999999,0.95
middle_fraction vs loop_gain,middle_fraction,loop_gain,5,0.09999999999999999,0.95
middle_fraction vs S,middle_fraction,S,5,0.09999999999999999,0.95
late_fraction vs mean_overload,late_fraction,mean_overload,5,0.3,0.6833333333333333
late_fraction vs loop_gain,late_fraction,loop_gain,5,0.3,0.6833333333333333
late_fraction vs S,late_fraction,S,5,0.3,0.6833333333333333
