tag,alpha_mult,friction,lid_gap_radii,route_class,selected_for_targeted_ensemble,nearest_selected_distance,mean_selected_distance,class_undercoverage_weight,boundary_score,risk_score,candidate_score,cold_memory_index,hot_susceptibility_index,loss_index,hot_load_risk,cold_load_risk,rationale,rank
a150_mu010_g020,1.5,0.1,0.2,lossy transitional,False,3.248931160886104,4.148083233887566,1.0,1.0,0.6670576566981004,3.517242530797642,-1.6001530643278024,-0.1261678780559669,1.5058131045293597,103.6153809768312,223.0316880718332,tests lossy boundary missing from true-force set,1
a150_mu030_g020,1.5,0.3,0.2,lossy transitional,False,2.40370531388929,3.54691118753605,1.0,1.0,1.4436600150249164,3.203587283240346,-1.210074617576662,0.4904120649017736,1.016344053076167,559.990070586122,201.6138260649424,tests lossy boundary missing from true-force set,2
a050_mu060_g020,0.5,0.6,0.2,buffered reservoir,False,3.281082140904966,3.7913939565174766,0.5,0.8,0.7073993158523124,2.9982497608311487,0.7742101146410468,-0.4376140266844304,-0.9782847270633024,364.8860346371668,715.744345951825,tests whether friction alone activates loops at low expansion,3
a050_mu060_g002,0.5,0.6,0.02,buffered reservoir,True,2.5336154330610254,3.567332662658631,0.5,1.15,0.6681081949516543,2.8503465254393863,1.0338400672918693,-0.4500774727787755,-1.1061967418931171,355.7377889223808,763.8741376400643,tests whether friction alone activates loops at low expansion; already targeted in three-seed ensemble,4
a100_mu060_g000,1.0,0.6,0.0,weakly coupled,True,2.0471673717230487,3.1430664420011856,0.5,1.15,1.5743213321205778,2.7352760582767233,-0.3631788047653827,0.582494910203127,0.2426681883382687,902.9370320004602,240.62244361505864,tests high-friction overload at intermediate expansion; already targeted in three-seed ensemble,5
a100_mu060_g020,1.0,0.6,0.2,weakly coupled,False,2.5404720148945468,3.393244633968768,0.5,0.8,1.050998756997831,2.6910729613926665,-0.675905184324254,-0.2509838746018887,0.2916382954551067,350.75809018141825,311.8953785662185,tests high-friction overload at intermediate expansion,6
a050_mu060_g000,0.5,0.6,0.0,buffered reservoir,False,2.560517636655463,3.576963174364742,0.5,0.8,0.6822881216709815,2.6727404621900956,0.9935180821680488,-0.4352217068613026,-1.0578712563635129,365.2678364113669,759.1425083267918,tests whether friction alone activates loops at low expansion,7
a150_mu030_g000,1.5,0.3,0.0,excitable overload,False,2.8245668210905737,3.5853845166038423,0.5,0.25,1.6692370280379438,2.6500826507140935,-0.7982120530080132,1.3408804930409568,1.1850832383052878,1259.454782873319,269.74012347651797,fills parameter/mechanism gap around current route manifold,8
a100_mu060_g002,1.0,0.6,0.02,excitable overload,False,2.261422332161762,3.1719888474633446,0.5,0.8,1.6369276915097504,2.6418250171351603,-0.5143919081385508,0.8494176841311575,0.3667445919393443,1051.8607181474224,242.6780771254609,tests high-friction overload at intermediate expansion,9
a150_mu030_g002,1.5,0.3,0.02,excitable overload,False,2.651056031715511,3.48475182988178,0.5,0.25,1.8221835414884815,2.589539732093813,-0.8619757619031819,1.344666645930736,1.0160140139299303,1470.180278498397,221.40480976180783,fills parameter/mechanism gap around current route manifold,10
