Cycle,BedHeight_m,Porosity,k_eff_W_mK,cycle,z_mean,contact_survival,contacts_broken,contacts_created,rms_displacement_m,phi_voro_mean,phi_voro_std,compactivity_like_theta,free_volume_entropy,coordination_entropy_Hz,cumulative_edge_entropy,persistent_edge_fraction,edge_pool,nonGaussian_alpha2,irreversible_work_proxy_J,activity_index,memory_index,free_volume_width_norm,transport_norm,work_norm,rms_norm,edge_pool_norm,cycle_fraction
1,0.0143261274332675,0.477204871692155,0.384673635266654,1,5.794283453664326,0.8395235056370985,3772,9560,0.0013969919391545,0.5833788225252649,0.1010784108146827,7.181058436486753e-11,2.1072107109912728,1.8046723758840733,0.0,1.0,29293,8.163253629220456,0.0008799255427699,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.0136983642912755,0.45324642633429,0.43367297513434,2,5.986944911482544,0.8956285227421681,3185,2936,0.0002422853249867,0.5929874503447817,0.0971536335501708,6.607727883183666e-11,2.046285176779075,1.7697515484202992,0.1754416989744347,0.7468911309244486,34096,0.4332080631504658,5.818194802078724e-05,0.028559265160859538,0.45585907250073,0.96117096387964,1.1273789918919708,0.0661214445913656,0.17343358840949225,1.1639640869832384,0.05263157894736842
3,0.0135997100705894,0.449280198566392,0.442218296596256,3,6.074374443675206,0.9038380702945646,2974,2756,0.0002322633320351,0.5962669190300152,0.0979773284739051,7.446363045723706e-11,1.978550063795601,1.779340683969331,0.2339175196875323,0.6325022578614631,36539,0.3148045115584132,4.91859020241746e-05,0.01726416343884986,0.5282592808179232,0.969320032677768,1.1495934632736458,0.05589780002219652,0.16625960789413896,1.2473628511931178,0.10526315789473684
4,0.0135101237361685,0.44562834686859,0.450198890675997,4,6.14004549500544,0.907057239920518,2900,2739,0.000227566333054,0.5984144114001013,0.0984225254034367,7.374488677066629e-11,1.954493462122107,1.777629011577852,0.2680435860047951,0.5547410982131211,38335,0.2014394612520302,3.969748597187428e-05,0.00750035471689586,0.5822475829656687,0.9737245036814507,1.1703398658031794,0.04511459668156848,0.16289738449867486,1.3086744273375892,0.15789473684210525
5,0.013457813909744,0.443473532933396,0.454959095352109,5,6.169518346355455,0.9065163947511254,2928,2797,0.0002278860620782,0.5996524051363921,0.0994906121671309,6.692883974827362e-11,1.932083453044576,1.778149269421057,0.2906031849010165,0.4992185924581568,39672,0.1761327077122245,3.372502023688669e-05,0.004201829966384606,0.5920889844105679,0.9842914165868429,1.182714523798163,0.038327129509986006,0.16312625412579207,1.354316730959615,0.21052631578947367
6,0.0134139854626096,0.441655155322304,0.459005863789135,6,6.188507566017209,0.9081197939848668,2890,2722,0.0002268497458409,0.6007426749408596,0.1001837968100577,8.532097706394083e-11,1.944435760080148,1.783315126788338,0.3065022453807923,0.4565617409651856,40759,0.2174555490843359,3.3976352657102686e-05,0.005724359583401474,0.6069537169771063,0.9911493067865382,1.193234528461911,0.038612758700184116,0.1623844343570057,1.391424572423446,0.2631578947368421
7,0.0133835408924675,0.440385045347384,0.461848734602333,7,6.212244090594402,0.908229759369338,2887,2834,0.0002265668174858,0.6018017232801282,0.099968444446628,7.812083989669487e-11,1.9336954536050637,1.7787632349705738,0.3184683855181072,0.4225554889022195,41675,0.1772666325865575,3.0614783263054095e-05,0.0026569242074572104,0.6288874761932262,0.9890187592077431,1.2006248732959865,0.03479247024320084,0.1621819075226195,1.4226948417710716,0.3157894736842105
8,0.0132942045692443,0.436624463643606,0.470344999972604,8,6.224112352882999,0.910770688566014,2825,2631,0.0002254138873628,0.6040208774783494,0.0966496540338232,7.312317737617263e-11,1.927045933078273,1.7843117084073334,0.3274736105106547,0.3953587094948351,42402,0.1782109486971803,2.900054220118372e-05,0.0017367466059201593,0.7176577005837389,0.9561849385525145,1.2227118181534926,0.0329579501805272,0.16135661276558763,1.447513057727102,0.3684210526315789
9,0.0132576800269049,0.435072379599575,0.473886292657179,9,6.247848877460192,0.9124383145640896,2768,2742,0.0002249363169664,0.6046328296367874,0.0970135615241188,7.962542442459766e-11,1.9421571658551056,1.7856275725724782,0.334704745914256,0.37279139604721,42957,0.1689503897881534,2.831005763271002e-05,0.000945564498256165,0.7375207821213206,0.9597851879763286,1.2319177848741394,0.03217324223092031,0.16101475653648936,1.4664595637182944,0.42105263157894735
10,0.0132286980382637,0.43383471238318,0.476724821862169,10,6.2516071605182475,0.9112972033496602,2807,2767,0.0002264147208229,0.6055997847323474,0.0962554369982287,7.174290839263658e-11,1.948249215182437,1.7808913167197904,0.3409149958995613,0.3521628264914658,43531,0.1715382336398865,2.7969261600355584e-05,0.0013403085952484774,0.7563877231227629,0.9522848274168412,1.2392968432362295,0.031785941242609805,0.16207303311995683,1.4860546888335098,0.47368421052631576
